,진짜 구급차 출동시간 표준화,기대수명 표준화,병원수 표준화,보건시설 표준화,구급차 표준화,의사수 표준화,지방소멸지수 표준화,
0,1,0.708333333,0.125,0.087670091,0.384615385,1,0.533189596,
1,1,0.716346154,0.1,0.049387863,0.230769231,0.457711443,0.554715074,
2,1,0.767628205,0.05,0.281052193,0.307692308,0.129353234,0.664849186,
3,1,0.719551282,0.125,0.258234469,0.153846154,0.129353234,0.669638954,
4,1,0.674679487,0.125,0.219497404,0.307692308,0.139303483,0.798917913,
5,1,0.581730769,0.4,0.259030436,0.384615385,0.218905473,0.578370601,
6,1,0.511217949,0.375,0.368381155,0.384615385,0.084577114,0.501102263,
7,1,0.644230769,0.15,0.382140014,0.307692308,0.104477612,0.568195854,
8,1,0.5,0.225,0.396353713,0.384615385,0.074626866,0.367767421,
9,1,0.605769231,0.125,0.514649585,0.307692308,0.049751244,0.365658325,
10,1,0.583333333,0.2,0.316188455,0.538461538,0.119402985,0.471294536,
11,1,0.629807692,0.275,0.345146496,0.461538462,0.084577114,0.514022137,
12,1,0.735576923,0.15,0.315202972,0.384615385,0.293532338,0.620259881,
13,1,0.719551282,0.1,0.142895046,0.538461538,0.094527363,0.883046243,
14,1,0.626602564,0.175,0.254823182,0.461538462,0.109452736,0.50985495,
15,1,0.591346154,0.5,0.265511883,0.307692308,0.094527363,0.683701953,
16,1,0.655448718,0.225,0.330970701,0.461538462,0.134328358,0.528492285,
17,1,0.469551282,0.1,0.27911913,0.230769231,0.074626866,0.585231452,
18,1,0.729166667,0.375,0.180836144,0.461538462,0.2039801,0.751885947,
19,1,0.798076923,0.15,0.289542508,0.307692308,0.139303483,0.658698562,
20,1,0.616987179,0.275,0.296137664,0.461538462,0.059701493,0.859062116,
21,1,1,0.325,0.056096729,0.153846154,0.333333333,0.642193032,
22,1,0.956730769,0.9,0,0.615384615,0.60199005,0.665631933,
23,1,0.823717949,0.575,0.179433726,0.538461538,0.223880597,0.693669488,
24,1,0.663461538,0.425,0.210969185,0.461538462,0.189054726,0.571008318,
25,1,0.208333333,0.05,0.189781299,0.384615385,0.303482587,0.268582603,
26,0.999078123,0.121794872,0.075,0.707463139,0.230769231,0.069651741,0.139310981,
27,1,0.360576923,0.5,0.203540158,0.538461538,0.223880597,0.448913314,
28,1.00E+00,0.4375,0.35,0.276958648,0.538461538,0.124378109,0.353248374,
29,0.516126621,0.270833333,0.475,0.405564189,0.384615385,0.069651741,0.306119099,
30,0.998368028,0.375,0.25,0.399992419,0.461538462,0.074626866,0.286420731,
31,0.99207684,0.370192308,0.15,0.382140014,0.307692308,0.009950249,0.641443919,
32,1,0.469551282,0.3,0.298146534,0.461538462,0.109452736,0.350268882,
33,0.998255908,0.52724359,0.2,0.318841678,0.461538462,0.139303483,0.386301474,
34,1,0.128205128,0.2,0.501724595,0.692307692,0.084577114,0.34046175,
35,0.989398413,0.326923077,0.125,0.465678657,0.307692308,0.044776119,0.406288875,
36,0.941211646,0.365384615,0.2,0.420232726,0.538461538,0.084577114,0.327392819,
37,1,0.174679487,0.175,0.457605276,0.769230769,0.07960199,0.209294232,
38,0.999514146,0.381410256,0.55,0.322518288,0.538461538,0.07960199,0.480989381,
39,0.999426941,0.66025641,1,0.26357882,0.384615385,0.124378109,0.469299217,
40,0.229809022,0.3125,0.1,0.355115036,0.307692308,0.024875622,0.541279923,
41,0,0.397435897,0.075,0.502331047,0.615384615,0.164179104,0.618112439,
42,0.954728358,0.554487179,0.125,0.234128037,0.230769231,0.044776119,0.81428998,
43,0.999563977,0.387820513,0.325,0.499488307,0.461538462,0.119402985,0.520221436,
44,1,0.4375,0.275,0.315013456,0.615384615,0.089552239,0.543438036,
45,1,0.363782051,0.2,0.288594929,0.307692308,0.074626866,0.553903789,
46,0.999638724,0.391025641,0.35,0.310389266,0.153846154,0.054726368,0.813056274,
47,0.611266834,0.469551282,0.025,0.875753326,0.615384615,0.044776119,0.058095433,
48,1.00E+00,0.352564103,0.175,0.244475609,0.307692308,0.552238806,0.401372037,
49,1,0.506410256,0.65,0.167645833,0.461538462,0.134328358,0.561525092,
50,0.994518568,0.5,0.375,0.302619111,0.384615385,0.124378109,0.394737164,
51,0.989224004,0.399038462,0.775,0.291740894,0.692307692,0.094527363,0.511649902,
52,0.968917791,0.358974359,0.6,0.192017587,0.692307692,0.084577114,0.880192997,
53,0.975134233,0.355769231,0.075,0.373460183,0.538461538,0.069651741,0.347025393,
54,0.990357663,0.469551282,0.125,0.353523102,0.538461538,0.23880597,0.337326067,
55,0.965853172,0.540064103,0.625,0.149641815,0.307692308,0.179104478,0.68386562,
56,0.987255671,0.615384615,0.35,0.168858735,0.384615385,0.074626866,0.950032349,
57,0.993222957,0.383012821,0.125,0.361558579,0.307692308,0.064676617,0.390572193,
58,1,0.341346154,0.15,0.391009362,0.307692308,0.049751244,0.363111659,
59,1.00E+00,0.310897436,0.55,0.137816018,0.615384615,0.129353234,0.565095937,
60,0.99988788,0.243589744,0.025,0.33309328,0.153846154,0.139303483,0.436898536,
61,0.982521708,0.290064103,0.125,0.261039306,0.307692308,0.014925373,0.83204423,
62,0.586874463,0.266025641,0.1,0.50498427,0.384615385,0.019900498,0.363413531,
63,0.999738386,0.415064103,0.425,0.345828753,0.615384615,0.104477612,0.527997783,
64,1,0.575320513,0.5,0.267065914,0.692307692,0.104477612,0.56152081,
65,1,0.58974359,0.125,0.249668347,0.230769231,0.074626866,0.538568024,
66,0.960733017,0.375,0.35,0.303339272,0.384615385,0.044776119,0.717341673,
67,0.991329372,0.104166667,0,0.68161316,0.153846154,0.049751244,0.266028726,
68,1,0.5625,0.2,0.19584581,0.153846154,0.144278607,0.56268558,
69,0.84637042,0.493589744,0.4,0.423530304,0.769230769,0.029850746,0.495183361,
70,1,0.378205128,0.225,0.254785278,0.230769231,0.049751244,0.838470729,
71,1.00E+00,0.394230769,0.2,0.263768336,0.461538462,0.034825871,0.85529628,
72,1,0.75,0.1,0.307584429,0.230769231,0.064676617,0.57632148,
73,0.989672484,0.666666667,0,0.422923852,0.153846154,0.019900498,0.570886804,
74,0.946942233,0.607371795,0.15,0.299624758,0.230769231,0.039800995,0.707749448,
75,0.750582402,0.423076923,0.35,0.431679491,0.769230769,0.029850746,0.562536337,
76,0.440831683,0.405448718,0.1,0.348557783,0.384615385,0.039800995,0.518248081,
77,0.691146242,0.352564103,0.075,0.526134253,0.461538462,0.034825871,0.349198181,
78,0.789949048,0.621794872,0.425,0.31482394,0.692307692,0.049751244,0.620030153,
79,0.50701997,0.541666667,0.4,0.225903044,1,0.044776119,1,
80,0.609373248,0.498397436,0.05,0.51150362,0.538461538,0.014925373,0.522679812,
81,0.565260181,0.341346154,0.125,0.598794678,0.538461538,0.039800995,0.441799473,
82,0.650558732,0.171474359,0.075,0.606375317,0.769230769,0.039800995,0.236415058,
83,0.6279852,0.237179487,0.025,0.555243907,0.384615385,0.049751244,0.218553847,
84,0.643943641,0.1875,0.025,0.585452754,0.307692308,0.039800995,0.131740051,
85,0.823684768,0.471153846,0.1,0.379676307,0.692307692,0.119402985,0.401087707,
86,0.429744241,0.373397436,0.475,0.29916992,1,0.114427861,0.472074291,
87,0.965653848,0.251602564,0.05,0.509684266,0.307692308,0.044776119,0.212619869,
88,0.895528896,0.225961538,0.025,0.701474434,0.153846154,0.039800995,0.111116184,
89,0.999638724,0.331730769,0.025,0.343933594,0.153846154,0.064676617,0.270853365,
90,0.734648877,0.264423077,0.025,0.759921161,0.692307692,0.034825871,0.154789302,
91,0.715052759,0.126602564,0.05,0.625630141,0.692307692,0.044776119,0.106691353,
92,0.768434428,0.241987179,0,0.824735625,0.538461538,0.024875622,0.063615237,
93,0.836404181,0.168269231,0.025,0.911230717,0.538461538,0.029850746,0.069869392,
94,0.830424437,0.115384615,0.025,0.834590456,0.538461538,0.014925373,0.066222576,
95,0.630327266,0.004807692,0,0.595155972,0.230769231,0.029850746,0.185211791,
96,0.934011038,0.323717949,0.05,0.582647917,0.230769231,0.039800995,0.215923249,
97,0.832442601,0.147435897,0,0.680362355,0.307692308,0.009950249,0.231295344,
98,0.778026934,0.092948718,0.1,0.855778342,0.153846154,0,0.09805127,
99,0.394501127,0.256410256,0.1,0.461319789,0.769230769,0.064676617,0.253281587,
100,0.832891081,0.229166667,0.05,0.433119812,0.384615385,0.064676617,0.207148472,
101,0.857781764,0.27724359,0,0.614448698,0.230769231,0.059701493,0.029619835,
102,0.839306848,0.195512821,0,0.56547777,0.307692308,0.049751244,0.075589806,
103,0.802307184,0.245192308,0,0.566652769,0.384615385,0.059701493,0.053624709,
104,0.79972842,0.378205128,0.025,0.422999659,0.384615385,0.034825871,0.360885775,
105,0.778986184,0.144230769,0.025,0.77496873,0.384615385,0.039800995,0.020766352,
106,0.51981413,0.088141026,0.025,0.483720578,0.461538462,0.044776119,0.188882319,
107,0.661421933,0.386217949,0,0.513095554,0.692307692,0.069651741,0.158518814,
108,0.599593876,0.293269231,0.05,0.54425198,0.538461538,0.044776119,0.124896993,
109,0.581243538,0.344551282,0.175,0.377553728,0.692307692,0.039800995,0.58482872,
110,0.569844651,0.573717949,0.05,0.504264109,0.615384615,0.034825871,0.280209051,
111,0.722988377,0.259615385,0.05,0.48849638,0.615384615,0.089552239,0.132945652,
112,0.684319368,0.613782051,0,0.333775537,0,0.024875622,0.521913585,
113,0.837276227,0.283653846,0,0.56453019,0.307692308,0.059701493,0.055941805,
114,0.738099687,0.296474359,0,0.677974453,0.307692308,0.049751244,0.039438715,
115,0.855863263,0.317307692,0,0.6725922,0.384615385,0.054726368,0.027208408,
116,0.717394825,0.383012821,0,0.543797142,0.538461538,0.059701493,0.179317151,
117,0.705248471,0.403846154,0.05,0.663495433,0.307692308,0.039800995,0.086121226,
118,0.5867748,0.524038462,0.1,0.472614941,0.769230769,0.029850746,0.268399655,
119,0.871497801,0.346153846,0.2,0.400939999,0.923076923,0.069651741,0.277784891,
120,0.547981214,0.368589744,0.2,0.398779517,1,0.119402985,0.282552644,
121,0.722452692,0.296474359,0.1,0.456771406,0.461538462,0.064676617,0.11858142,
122,0.802469136,0.415064103,0.025,0.441648031,0.615384615,0.074626866,0.110945659,
123,0.786460864,0.233974359,0.075,0.53238828,0.307692308,0.069651741,0.09411581,
124,0.456379016,0.384615385,0.025,0.515445552,0.538461538,0.044776119,0.215382651,
125,0.851278793,0.190705128,0.025,0.637683357,0.230769231,0.059701493,0.038524417,
126,0.902168903,0.176282051,0,0.456013342,0.230769231,0.074626866,0.054884049,
127,0.780705361,0.282051282,0.025,0.576735019,0.307692308,0.064676617,0.044783651,
128,0.821940676,0.301282051,0.1,0.605465641,0.384615385,0.069651741,0.056849683,
129,0.994717893,0.126602564,0.525,0.373232764,0.461538462,0.114427861,0.353556474,
130,0.752912011,0.296474359,0.225,0.43368836,0.769230769,0.064676617,0.278475335,
131,0.806368427,0.461538462,0.575,0.342038434,0.923076923,0.089552239,0.433786142,
132,0.835893411,0.290064103,0.05,0.443808513,0.538461538,0.084577114,0.274486728,
133,0.90246789,0.447115385,0.1,0.341015048,0.307692308,0.024875622,0.494635901,
134,0.947303509,0.47275641,0,0.564947125,0.384615385,0.069651741,0.093560972,
135,0.717556776,0.233974359,0.075,0.75942842,0.230769231,0.059701493,0.005473057,
136,0.897509686,0.286858974,0.025,0.774475988,0.230769231,0.07960199,0.016630873,
137,0.842246889,0.346153846,0.075,0.481597999,0.230769231,0.308457711,0.149802549,
138,0.816384498,0.243589744,0.05,0.590683395,0.307692308,0.07960199,0.050809573,
139,0.883868396,0.362179487,0,0.628093848,0.384615385,0.07960199,0.053604379,
140,0.603667576,0.131410256,0.05,0.650608346,0.461538462,0.064676617,0.056849801,
141,0.808124977,0.248397436,0.025,0.516089906,0.230769231,0.034825871,0.121551812,
142,0.795804213,0.136217949,0.025,0.440814161,0.384615385,0.049751244,0.329626165,
143,0.851602696,0.278846154,0.025,0.629041428,0.153846154,0.07960199,0.02922531,
144,0.794483687,0.118589744,0.025,0.500208468,0.307692308,0.089552239,0.128204017,
145,0.894943379,0.294871795,0.025,0.680741386,0.076923077,0.039800995,0.087254064,
146,0.755478317,0.184294872,0,0.670810749,0.461538462,0.049751244,0.05414626,
147,0.861631224,0,0.025,0.559337452,0.230769231,0.054726368,0.055975327,
148,0.679560489,0.184294872,0.025,0.655459955,0.461538462,0.074626866,0.016746373,
149,0.096074547,0.326923077,0.25,0.606072092,0.923076923,0.054726368,0.188582672,
150,0.736891281,0.280448718,0.025,0.630595459,0.384615385,0.044776119,0.197441969,
151,0.656002791,0.314102564,0.125,0.515104423,0.846153846,0.094527363,0.179807522,
152,0.546648229,0.40224359,0.15,0.228783686,0.692307692,0.049751244,0.782091437,
153,0.842782574,0.344551282,0.1,0.612553538,0.307692308,0.064676617,0.114166036,
154,0.663938409,0.166666667,0.025,0.604328545,0.461538462,0.054726368,0.112262771,
155,0.6320589,0.280448718,0.05,0.639009969,0.538461538,0.054726368,0.067301279,
156,0.743693239,0.251602564,0.025,0.633893037,0.307692308,0.059701493,0.086194529,
157,0.463081312,0.33974359,0.15,0.406814995,0.384615385,0.049751244,0.406859009,
158,0.77080141,0.118589744,0.025,0.848879961,0.692307692,0.049751244,0,
159,0.852649151,0.224358974,0,0.721676837,0.230769231,0.049751244,0.018770398,
160,0.813631324,0.181089744,0.025,0.749914718,0.153846154,0.059701493,0.014383181,
161,0.926511442,0.264423077,0,0.629079331,0.153846154,0.039800995,0.049437161,
162,0.865854418,0.197115385,0,0.682598643,0.153846154,0.049751244,0.043747291,
163,0.941398513,0.248397436,0,0.472425425,0.384615385,0.014925373,0.316840489,
164,0.668336012,0.564102564,0,0.737292954,0.307692308,0.034825871,0.10730594,
165,0.791543646,0.330128205,0,1,0.230769231,0.024875622,0.005698063,
166,0.796626428,0.310897436,0,0.680627677,0.307692308,0.044776119,0.09786861,
167,0.725168492,0.383012821,0.425,0.328810219,0.692307692,0.119402985,0.38427835,
168,0.890134669,0.09775641,0.15,0.439677065,0.230769231,0.044776119,0.185750444,
169,0.894332947,0.28525641,0.075,0.541712466,0.461538462,0.054726368,0.176804124,
170,0.917691321,0.274038462,0.675,0.312284426,0.461538462,0.054726368,0.575417094,
171,0.745312753,0.102564103,0.15,0.693704279,0.384615385,0.039800995,0.088569317,
172,0.835133485,0.302884615,0.2,0.322935223,0.538461538,0.024875622,0.4819622,
173,0.959038756,0.326923077,0.3,0.356252132,0.615384615,0.129353234,0.462484546,
174,0.857246079,0.171474359,0,0.655952697,0.153846154,0.024875622,0.020688036,
175,0.862416066,0.243589744,0.05,0.704165561,0.230769231,0.029850746,0.098295736,
176,0.84252096,0.096153846,0.025,0.59110033,0.307692308,0.059701493,0.04848305,
177,0.853259583,0.084935897,0.025,0.719288936,0.230769231,0.039800995,0.04753632,
178,0.764298439,0.213141026,0,0.712201039,0.230769231,0.034825871,0.015255575,
179,0.851839394,0.278846154,0,0.621839821,0.307692308,0.039800995,0.040805078,
180,0.845560663,0.376602564,0.05,0.54531327,0.307692308,0.049751244,0.107769274,
181,0.713657485,0.125,0,0.691884926,0.384615385,0.059701493,0.006213009,
