,시군구별,순환계통 사망자수,운수사고 사망자수,낙상(추락) 사망자수,사망자수 합계,sig_cd
0,00 전국,"62,370","3,624","2,722","68,716",0
1,11 서울특별시,"9,350",367,423,"10,140",11
2,　　　11010 종로구,229,7,11,247,11010
3,　　　11020 중구,194,4,10,208,11020
4,　　　11030 용산구,247,5,14,266,11030
5,　　　11040 성동구,242,10,21,273,11040
6,　　　11050 광진구,337,14,14,365,11050
7,　　　11060 동대문구,407,23,15,445,11060
8,　　　11070 중랑구,401,23,30,454,11070
9,　　　11080 성북구,476,18,21,515,11080
10,　　　11090 강북구,354,12,15,381,11090
11,　　　11100 도봉구,342,8,22,372,11100
12,　　　11110 노원구,545,13,31,589,11110
13,　　　11120 은평구,552,25,15,592,11120
14,　　　11130 서대문구,361,12,11,384,11130
15,　　　11140 마포구,307,10,13,330,11140
16,　　　11150 양천구,375,23,17,415,11150
17,　　　11160 강서구,546,17,21,584,11160
18,　　　11170 구로구,382,13,24,419,11170
19,　　　11180 금천구,303,25,15,343,11180
20,　　　11190 영등포구,420,20,11,451,11190
21,　　　11200 동작구,349,11,14,374,11200
22,　　　11210 관악구,531,21,26,578,11210
23,　　　11220 서초구,266,8,16,290,11220
24,　　　11230 강남구,356,11,6,373,11230
25,　　　11240 송파구,474,20,14,508,11240
26,　　　11250 강동구,354,14,16,384,11250
27,21 부산광역시,"5,412",180,210,"5,802",21
28,　　　21010 중구,117,2,3,122,21010
29,　　　21020 서구,245,11,16,272,21020
30,　　　21030 동구,199,4,9,212,21030
31,　　　21040 영도구,313,17,15,345,21040
32,　　　21050 부산진구,580,15,22,617,21050
33,　　　21060 동래구,372,16,13,401,21060
34,　　　21070 남구,408,11,19,438,21070
35,　　　21080 북구,402,15,13,430,21080
36,　　　21090 해운대구,566,14,9,589,21090
37,　　　21100 사하구,508,14,27,549,21100
38,　　　21110 금정구,398,16,11,425,21110
39,　　　21120 강서구,129,11,2,142,21120
40,　　　21130 연제구,287,3,14,304,21130
41,　　　21140 수영구,289,3,5,297,21140
42,　　　21150 사상구,349,17,15,381,21150
43,　　　21310 기장군,250,11,17,278,21310
44,22 대구광역시,"3,004",118,122,"3,244",22
45,　　　22010 중구,136,4,4,144,22010
46,　　　22020 동구,515,26,22,563,22020
47,　　　22030 서구,289,13,16,318,22030
48,　　　22040 남구,256,5,12,273,22040
49,　　　22050 북구,493,20,21,534,22050
50,　　　22060 수성구,476,13,18,507,22060
51,　　　22070 달서구,570,25,20,615,22070
52,　　　22310 달성군,269,12,9,290,22310
53,23 인천광역시,"3,017",128,133,"3,278",23
54,　　　23010 중구,135,11,6,152,23010
55,　　　23020 동구,123,6,6,135,23020
56,　　　23030 남구,,,,0,23030
57,　　　23040 연수구,328,9,5,342,23040
58,　　　23050 남동구,558,17,20,595,23050
59,　　　23060 부평구,519,20,22,561,23060
60,　　　23070 계양구,283,14,24,321,23070
61,　　　23080 서구,410,23,14,447,23080
62,　　　23090 미추홀구,497,19,25,541,23090
63,　　　23310 강화군,131,8,10,149,23310
64,　　　23320 옹진군,33,1,1,35,23320
65,24 광주광역시,"1,356",64,53,"1,473",24
66,　　　24010 동구,129,5,5,139,24010
67,　　　24020 서구,263,14,7,284,24020
68,　　　24030 남구,217,10,17,244,24030
69,　　　24040 북구,458,15,14,487,24040
70,　　　24050 광산구,289,20,10,319,24050
71,25 대전광역시,"1,133",80,81,"1,294",25
72,　　　25010 동구,242,13,23,278,25010
73,　　　25020 중구,232,17,14,263,25020
74,　　　25030 서구,312,19,20,351,25030
75,　　　25040 유성구,184,20,13,217,25040
76,　　　25050 대덕구,163,11,11,185,25050
77,26 울산광역시,"1,317",64,41,"1,422",26
78,　　　26010 중구,275,14,9,298,26010
79,　　　26020 남구,377,18,12,407,26020
80,　　　26030 동구,185,5,7,197,26030
81,　　　26040 북구,172,10,4,186,26040
82,　　　26310 울주군,308,17,9,334,26310
83,29 세종특별자치시,245,15,9,269,29
84,　　　29010 세종시,245,15,9,269,29010
85,31 경기도,"12,854",613,592,"14,059",31
86,　　　31010 수원시,903,49,46,998,31010
87,　　　31011 장안구,280,8,9,297,31011
88,　　　31012 권선구,270,21,19,310,31012
89,　　　31013 팔달구,177,9,11,197,31013
90,　　　31014 영통구,176,11,7,194,31014
91,　　　31020 성남시,963,28,51,"1,042",31020
92,　　　31021 수정구,298,12,16,326,31021
93,　　　31022 중원구,274,8,15,297,31022
94,　　　31023 분당구,391,8,20,419,31023
95,　　　31030 의정부시,485,27,22,534,31030
96,　　　31040 안양시,561,17,27,605,31040
97,　　　31041 만안구,315,9,10,334,31041
98,　　　31042 동안구,246,8,17,271,31042
99,　　　31050 부천시,773,30,25,828,31050
100,　　　31051 원미구,,,,0,31051
101,　　　31052 소사구,,,,0,31052
102,　　　31053 오정구,,,,0,31053
103,　　　31060 광명시,304,14,10,328,31060
104,　　　31070 평택시,637,37,38,712,31070
105,　　　31080 동두천시,203,4,6,213,31080
106,　　　31090 안산시,656,36,36,728,31090
107,　　　31091 상록구,367,19,18,404,31091
108,　　　31092 단원구,289,17,18,324,31092
109,　　　31100 고양시,859,42,67,968,31100
110,　　　31101 덕양구,386,23,36,445,31101
111,　　　31102 일산구,,,,0,31102
112,　　　31103 일산동구,252,8,13,273,31103
113,　　　31104 일산서구,221,11,18,250,31104
114,　　　31110 과천시,45,1,2,48,31110
115,　　　31120 구리시,156,11,10,177,31120
116,　　　31130 남양주시,685,26,38,749,31130
117,　　　31140 오산시,235,13,9,257,31140
118,　　　31150 시흥시,410,31,12,453,31150
119,　　　31160 군포시,257,8,10,275,31160
120,　　　31170 의왕시,187,3,2,192,31170
121,　　　31180 하남시,223,11,18,252,31180
122,　　　31190 용인시,829,35,27,891,31190
123,　　　31191 처인구,301,18,8,327,31191
124,　　　31192 기흥구,310,7,10,327,31192
125,　　　31193 수지구,218,10,9,237,31193
126,　　　31200 파주시,462,30,20,512,31200
127,　　　31210 이천시,236,12,9,257,31210
128,　　　31220 안성시,333,19,14,366,31220
129,　　　31230 김포시,280,15,19,314,31230
130,　　　31240 화성시,609,31,19,659,31240
131,　　　31250 광주시,389,24,16,429,31250
132,　　　31260 양주시,302,8,8,318,31260
133,　　　31270 포천시,266,14,8,288,31270
134,　　　31280 여주시,152,16,3,171,31280
135,　　　31310 양주군,,,,0,31310
136,　　　31320 여주군,,,,0,31320
137,　　　31330 화성군,,,,0,31330
138,　　　31340 광주군,,,,0,31340
139,　　　31350 연천군,100,8,1,109,31350
140,　　　31360 포천군,,,,0,31360
141,　　　31370 가평군,130,7,6,143,31370
142,　　　31380 양평군,224,6,13,243,31380
143,32 강원도,"2,450",152,102,"2,704",32
144,　　　32010 춘천시,366,21,16,403,32010
145,　　　32020 원주시,482,26,13,521,32020
146,　　　32030 강릉시,335,19,11,365,32030
147,　　　32040 동해시,120,9,5,134,32040
148,　　　32050 태백시,78,8,2,88,32050
149,　　　32060 속초시,122,5,5,132,32060
150,　　　32070 삼척시,119,6,4,129,32070
151,　　　32310 홍천군,108,11,12,131,32310
152,　　　32320 횡성군,104,9,6,119,32320
153,　　　32330 영월군,90,4,6,100,32330
154,　　　32340 평창군,86,5,4,95,32340
155,　　　32350 정선군,72,4,8,84,32350
156,　　　32360 철원군,96,8,2,106,32360
157,　　　32370 화천군,50,5,1,56,32370
158,　　　32380 양구군,40,5,2,47,32380
159,　　　32390 인제군,47,2,2,51,32390
160,　　　32400 고성군,78,3,1,82,32400
161,　　　32410 양양군,57,2,2,61,32410
162,33 충청북도,"2,177",159,123,"2,459",33
163,　　　33010 청주시,,,,0,33010
164,　　　33011 상당구,,,,0,33011
165,　　　33012 흥덕구,,,,0,33012
166,　　　33020 충주시,302,19,20,341,33020
167,　　　33030 제천시,265,20,14,299,33030
168,　　　33040 청주시,775,55,45,875,33040
169,　　　33041 상당구,224,13,15,252,33041
170,　　　33042 서원구,192,14,9,215,33042
171,　　　33043 흥덕구,177,12,7,196,33043
172,　　　33044 청원구,182,16,14,212,33044
173,　　　33310 청원군,,,,0,33310
174,　　　33320 보은군,108,4,8,120,33320
175,　　　33330 옥천군,106,8,5,119,33330
176,　　　33340 영동군,138,8,5,151,33340
177,　　　33350 진천군,111,14,5,130,33350
178,　　　33360 괴산군,98,9,3,110,33360
179,　　　33370 음성군,148,11,7,166,33370
180,　　　33380 단양군,79,4,7,90,33380
181,　　　33390 증평군,47,7,4,58,33390
182,34 충청남도,"2,932",290,143,"3,365",34
183,　　　34010 천안시,539,44,36,619,34010
184,　　　34011 동남구,285,21,20,326,34011
185,　　　34012 서북구,254,23,16,293,34012
186,　　　34020 공주시,216,17,9,242,34020
187,　　　34030 보령시,202,18,3,223,34030
188,　　　34040 아산시,297,28,13,338,34040
189,　　　34050 서산시,187,24,14,225,34050
190,　　　34060 논산시,230,20,13,263,34060
191,　　　34070 계룡시,21,2,0,23,34070
192,　　　34080 당진시,198,38,7,243,34080
193,　　　34310 금산군,126,11,2,139,34310
194,　　　34320 연기군,,,,0,34320
195,　　　34330 부여군,179,12,10,201,34330
196,　　　34340 서천군,185,14,7,206,34340
197,　　　34350 청양군,100,12,2,114,34350
198,　　　34360 홍성군,162,12,10,184,34360
199,　　　34370 예산군,189,23,15,227,34370
200,　　　34380 태안군,101,15,2,118,34380
201,　　　34390 당진군,,,,0,34390
202,35 전라북도,"2,835",255,101,"3,191",35
203,　　　35010 전주시,695,57,23,775,35010
204,　　　35011 완산구,386,31,13,430,35011
205,　　　35012 덕진구,309,26,10,345,35012
206,　　　35020 군산시,363,36,15,414,35020
207,　　　35030 익산시,401,33,15,449,35030
208,　　　35040 정읍시,197,19,16,232,35040
209,　　　35050 남원시,154,12,7,173,35050
210,　　　35060 김제시,204,11,7,222,35060
211,　　　35310 완주군,178,17,0,195,35310
212,　　　35320 진안군,77,11,3,91,35320
213,　　　35330 무주군,68,2,2,72,35330
214,　　　35340 장수군,41,9,0,50,35340
215,　　　35350 임실군,85,11,3,99,35350
216,　　　35360 순창군,77,9,2,88,35360
217,　　　35370 고창군,143,13,4,160,35370
218,　　　35380 부안군,152,15,4,171,35380
219,36 전라남도,"3,432",325,122,"3,879",36
220,　　　36010 목포시,248,28,6,282,36010
221,　　　36020 여수시,415,27,15,457,36020
222,　　　36030 순천시,382,37,17,436,36030
223,　　　36040 나주시,209,19,9,237,36040
224,　　　36060 광양시,111,20,6,137,36060
225,　　　36310 담양군,120,4,4,128,36310
226,　　　36320 곡성군,84,4,2,90,36320
227,　　　36330 구례군,96,2,1,99,36330
228,　　　36350 고흥군,192,20,6,218,36350
229,　　　36360 보성군,137,22,4,163,36360
230,　　　36370 화순군,122,6,6,134,36370
231,　　　36380 장흥군,119,15,0,134,36380
232,　　　36390 강진군,69,8,1,78,36390
233,　　　36400 해남군,239,16,10,265,36400
234,　　　36410 영암군,99,12,2,113,36410
235,　　　36420 무안군,145,20,9,174,36420
236,　　　36430 함평군,66,10,2,78,36430
237,　　　36440 영광군,116,10,5,131,36440
238,　　　36450 장성군,113,9,7,129,36450
239,　　　36460 완도군,151,14,5,170,36460
240,　　　36470 진도군,88,8,4,100,36470
241,　　　36480 신안군,111,14,1,126,36480
242,37 경상북도,"4,940",390,233,"5,563",37
243,　　　37010 포항시,686,44,33,763,37010
244,　　　37011 남구,312,19,14,345,37011
245,　　　37012 북구,374,25,19,418,37012
246,　　　37020 경주시,463,40,25,528,37020
247,　　　37030 김천시,256,22,21,299,37030
248,　　　37040 안동시,294,26,20,340,37040
249,　　　37050 구미시,346,31,17,394,37050
250,　　　37060 영주시,231,18,9,258,37060
251,　　　37070 영천시,272,17,11,300,37070
252,　　　37080 상주시,216,37,9,262,37080
253,　　　37090 문경시,143,12,13,168,37090
254,　　　37100 경산시,436,23,10,469,37100
255,　　　37310 군위군,79,10,3,92,37310
256,　　　37320 의성군,212,18,6,236,37320
257,　　　37330 청송군,65,7,7,79,37330
258,　　　37340 영양군,71,5,3,79,37340
259,　　　37350 영덕군,152,8,2,162,37350
260,　　　37360 청도군,182,8,9,199,37360
261,　　　37370 고령군,116,10,4,130,37370
262,　　　37380 성주군,149,7,4,160,37380
263,　　　37390 칠곡군,181,12,7,200,37390
264,　　　37400 예천군,118,10,9,137,37400
265,　　　37410 봉화군,112,15,1,128,37410
266,　　　37420 울진군,147,9,5,161,37420
267,　　　37430 울릉군,13,1,5,19,37430
268,38 경상남도,"5,156",372,205,"5,733",38
269,　　　38010 창원시,,,,0,38010
270,　　　38020 마산시,,,,0,38020
271,　　　38021 합포구,,,,0,38021
272,　　　38022 회원구,,,,0,38022
273,　　　38030 진주시,588,34,22,644,38030
274,　　　38040 진해시,,,,0,38040
275,　　　38050 통영시,210,12,11,233,38050
276,　　　38060 사천시,230,36,7,273,38060
277,　　　38110 통합창원시,"1,145",77,49,"1,271",38110
278,　　　38111 의창구,249,15,10,274,38111
279,　　　38112 성산구,177,10,5,192,38112
280,　　　38113 마산합포구,288,19,15,322,38113
281,　　　38114 마산회원구,233,16,12,261,38114
282,　　　38115 진해구,198,17,7,222,38115
283,　　　38070 김해시,533,37,27,597,38070
284,　　　38080 밀양시,243,15,10,268,38080
285,　　　38090 거제시,258,16,10,284,38090
286,　　　38100 양산시,397,27,14,438,38100
287,　　　38310 의령군,108,9,6,123,38310
288,　　　38320 함안군,149,9,3,161,38320
289,　　　38330 창녕군,202,4,7,213,38330
290,　　　38340 고성군,179,10,4,193,38340
291,　　　38350 남해군,155,11,5,171,38350
292,　　　38360 하동군,166,16,7,189,38360
293,　　　38370 산청군,125,16,5,146,38370
294,　　　38380 함양군,142,14,5,161,38380
295,　　　38390 거창군,154,13,7,174,38390
296,　　　38400 합천군,172,16,6,194,38400
297,39 제주도,760,52,29,841,39
298,　　　39010 제주시,551,32,18,601,39010
299,　　　39020 서귀포시,209,20,11,240,39020
300,　　　39310 북제주군,,,,0,39310
301,　　　39320 남제주군,,,,0,39320
