시도군,순위,보건시설 1개당 65세이상 노인인구(명),비율(%),시군구코드
강원도 양양군,1,308.04,0.86,42830
경상북도 봉화군,2,288.92,0.8,47920
경상북도 영양군,3,288.86,0.8,47760
강원도 영월군,4,265.5,0.74,42750
인천광역시 강화군,5,256.14,0.71,28710
경상북도 군위군,6,255,0.71,47720
강원도 고성군,7,250.87,0.7,42820
경기도 연천군,8,250.31,0.7,41800
경상북도 의성군,9,249.05,0.69,47730
강원도 정선군,10,245.28,0.68,42770
강원도 횡성군,11,242.68,0.67,42730
인천광역시 옹진군,12,240.59,0.67,28720
충청북도 괴산군,13,229.55,0.64,43760
전라남도 보성군,14,229.42,0.64,46780
경상북도 청송군,15,228.18,0.63,47750
강원도 삼척시,16,225.58,0.63,42230
전라남도 고흥군,17,225.45,0.63,46770
경상북도 청도군,18,222.94,0.62,47820
충청남도 태안군,19,221.31,0.62,44825
경상북도 예천군,20,219.61,0.61,47900
경상북도 영덕군,21,215.49,0.6,47770
경상남도 고성군,22,214.86,0.6,48820
경상남도 산청군,23,214.2,0.6,48860
경상북도 울릉군,24,213.2,0.59,47940
경상남도 남해군,25,212.99,0.59,48840
충청남도 청양군,26,212.24,0.59,44790
부산광역시 영도구,27,211.74,0.59,26200
경상남도 함안군,28,210.87,0.59,48730
강원도 태백시,29,210.16,0.58,42190
강원도 화천군,30,208.35,0.58,42790
경상남도 밀양시,31,208.11,0.58,48270
경상남도 합천군,32,207.63,0.58,48890
경상북도 성주군,33,205.18,0.57,47840
경기도 동두천시,34,204.92,0.57,41250
전라남도 장성군,35,204.69,0.57,46880
경상북도 울진군,36,204.66,0.57,47930
강원도 인제군,37,204.59,0.57,42810
충청남도 부여군,38,203.96,0.57,44760
충청남도 서천군,39,202.54,0.56,44770
전라남도 완도군,40,202.07,0.56,46890
경기도 양평군,41,200.59,0.56,41830
충청남도 예산군,42,200.14,0.56,44810
경상남도 의령군,43,198.15,0.55,48720
전라남도 신안군,44,198.02,0.55,46910
전라북도 무주군,45,197.41,0.55,45730
충청북도 단양군,46,196.82,0.55,43800
전라남도 해남군,47,196.74,0.55,46820
전라북도 장수군,48,194.08,0.54,45740
경상북도 상주시,49,193.68,0.54,47250
전라북도 진안군,50,193.33,0.54,45720
경상북도 문경시,51,192.33,0.53,47280
경상북도 김천시,52,191.46,0.53,47150
경상북도 고령군,53,191.06,0.53,47830
전라남도 함평군,54,191.05,0.53,46860
전라남도 강진군,55,190.8,0.53,46810
전라남도 구례군,56,190.63,0.53,46730
강원도 홍천군,57,190.15,0.53,42720
경상남도 함양군,58,189.15,0.53,48870
충청북도 보은군,59,187.2,0.52,43720
경상북도 영주시,60,186.7,0.52,47210
경기도 포천시,61,185.07,0.51,41650
경상북도 경주시,62,184.99,0.51,47130
전라북도 부안군,63,184.83,0.51,45800
경상북도 영천시,64,184.53,0.51,47230
경상남도 하동군,65,183.96,0.51,48850
경기도 양주시,66,183.07,0.51,41630
강원도 철원군,67,182.11,0.51,42780
강원도 평창군,68,181.27,0.5,42760
경상남도 창녕군,69,181.04,0.5,48740
전라남도 장흥군,70,180.93,0.5,46800
경기도 가평군,71,179.55,0.5,41820
강원도 양구군,72,178.81,0.5,42800
전라북도 고창군,73,177.25,0.49,45790
부산광역시 서구,74,176.72,0.49,26140
충청북도 영동군,75,174.59,0.49,43740
전라남도 곡성군,76,174.31,0.48,46720
충청북도 옥천군,77,174.28,0.48,43730
전라남도 담양군,78,174.14,0.48,46710
충청남도 금산군,79,174.03,0.48,44710
전라남도 진도군,80,172.66,0.48,46900
경기도 여주시,81,171.58,0.48,41730
경상남도 거창군,82,168.96,0.47,48880
충청남도 보령시,83,168.68,0.47,44180
충청남도 홍성군,84,168.56,0.47,44800
경상남도 사천시,85,168.01,0.47,48240
전라북도 김제시,86,165.55,0.46,45210
경기도 안성시,87,163.9,0.46,41550
전라남도 영암군,88,161.25,0.45,46830
전라북도 완주군,89,161.08,0.45,45710
경상북도 안동시,90,160.99,0.45,47170
서울특별시 도봉구,91,160.87,0.45,11320
충청남도 공주시,92,160.46,0.45,44150
경기도 광주시,93,160.04,0.44,41610
강원도 동해시,94,159.56,0.44,42170
울산광역시 울주군,95,158.32,0.44,31710
충청남도 서산시,96,158.13,0.44,44210
인천광역시 중구,97,157.62,0.44,28110
부산광역시 사상구,98,157.46,0.44,26530
전라남도 영광군,99,157.06,0.44,46870
인천광역시 동구,100,156.87,0.44,28200
강원도 강릉시,101,156.42,0.43,42150
충청남도 논산시,102,153.97,0.43,44230
충청북도 음성군,103,152.71,0.42,43770
전라남도 화순군,104,152.15,0.42,46790
경상북도 포항시 남구,105,151.1,0.42,47111
충청남도 당진시,106,149.78,0.42,44830
경상북도 칠곡군,107,149.73,0.42,47850
부산광역시 기장군,108,147.95,0.41,26710
경기도 용인시 처인구,109,147.79,0.41,41461
충청북도 충주시,110,146.8,0.41,43130
대구광역시 서구,111,145.82,0.41,27170
전라북도 정읍시,112,145.6,0.4,45180
전라북도 순창군,113,145.4,0.4,45770
전라북도 임실군,114,143.12,0.4,45750
전라남도 나주시,115,142.18,0.4,46170
전라북도 남원시,116,141.61,0.39,45190
전라남도 무안군,117,141.39,0.39,46840
경상남도 통영시,118,141.09,0.39,48220
경상남도 창원시 마산합포구,119,140.45,0.39,48125
전라남도 여수시,120,139.51,0.39,46130
충청북도 제천시,121,139.36,0.39,43150
경기도 파주시,122,138.98,0.39,41480
인천광역시 미추홀구,123,138.89,0.39,28177
경기도 남양주시,124,136.83,0.38,41360
충청북도 진천군,125,136.69,0.38,43750
경기도 의왕시,126,136.67,0.38,41430
대구광역시 동구,127,135.96,0.38,27140
경상북도 경산시,128,132.42,0.37,47290
부산광역시 북구,129,132.33,0.37,26320
부산광역시 사하구,130,132.09,0.37,26380
충청북도 증평군,131,131.64,0.37,43745
경기도 고양시 덕양구,132,131.32,0.36,41281
전라북도 군산시,133,130.87,0.36,45130
부산광역시 금정구,134,130.62,0.36,26410
부산광역시 남구,135,130.34,0.36,26290
전라북도 익산시,136,130.3,0.36,45140
경상남도 창원시 진해구,137,130.13,0.36,48129
서울특별시 강북구,138,129.66,0.36,11305
제주특별자치도 서귀포시,139,129.6,0.36,50130
경기도 안산시 상록구,140,128.61,0.36,41271
부산광역시 동구,141,128.53,0.36,26170
울산광역시 중구,142,128.25,0.36,31110
대구광역시 남구,143,128.12,0.36,27200
경상남도 창원시 마산회원구,144,127.37,0.35,48127
경기도 안양시 만안구,145,127.23,0.35,41171
서울특별시 성북구,146,125.91,0.35,11290
부산광역시 강서구,147,125.91,0.35,26440
강원도 춘천시,148,125.26,0.35,42110
충청남도 아산시,149,124.7,0.35,44200
대전광역시 동구,150,123.62,0.34,30110
전라남도 목포시,151,123.56,0.34,46110
충청북도 청주시 서원구,152,123.44,0.34,43112
서울특별시 중랑구,153,122.28,0.34,11260
대전광역시 대덕구,154,120.48,0.33,30230
경상북도 포항시 북구,155,119.78,0.33,47113
경상남도 양산시,156,119.08,0.33,48330
경기도 과천시,157,118.81,0.33,41290
대구광역시 달성군,158,118.78,0.33,27710
대전광역시 중구,159,118.36,0.33,30140
경상남도 창원시 의창구,160,117.76,0.33,48121
경기도 용인시 기흥구,161,117.19,0.33,41463
경기도 이천시,162,117.05,0.33,41500
경기도 의정부시,163,116.33,0.32,41150
서울특별시 은평구,164,116.15,0.32,11380
강원도 속초시,165,115.83,0.32,42210
전라남도 순천시,166,115.33,0.32,46150
충청남도 천안시 동남구,167,115.11,0.32,44131
전라남도 광양시,168,115.06,0.32,46230
충청남도 계룡시,169,113.15,0.31,44250
울산광역시 동구,170,112.97,0.31,31170
서울특별시 구로구,171,112.41,0.31,11530
경상남도 진주시,172,111.84,0.31,48170
경상남도 거제시,173,110.29,0.31,48310
대구광역시 북구,174,110.18,0.31,27230
충청북도 청주시 청원구,175,110.04,0.31,43114
부산광역시 수영구,176,109.21,0.3,26500
서울특별시 노원구,177,108.51,0.3,11350
서울특별시 서대문구,178,108.25,0.3,11410
인천광역시 부평구,179,108.2,0.3,28237
경기도 김포시,180,108.15,0.3,41570
경상남도 김해시,181,107.48,0.3,48250
인천광역시 서구,182,106.98,0.3,28260
경기도 수원시 권선구,183,106.81,0.3,41113
경기도 군포시,184,106.24,0.3,41410
경기도 평택시,185,105.12,0.29,41220
광주광역시 남구,186,104.93,0.29,29155
경기도 하남시,187,104.14,0.29,41450
강원도 원주시,188,104.02,0.29,42130
부산광역시 연제구,189,103.75,0.29,26470
경기도 수원시 장안구,190,103.42,0.29,41111
서울특별시 관악구,191,103.22,0.29,11620
광주광역시 북구,192,102.06,0.28,29170
충청북도 청주시 상당구,193,101.9,0.28,43111
서울특별시 동작구,194,101.48,0.28,11590
경기도 용인시 수지구,195,101.38,0.28,41465
경기도 성남시 중원구,196,101.36,0.28,41133
인천광역시 계양구,197,101.23,0.28,28245
서울특별시 용산구,198,99.24,0.28,11170
서울특별시 금천구,199,98.73,0.27,11545
부산광역시 해운대구,200,98.16,0.27,26350
부산광역시 동래구,201,96.66,0.27,26260
경기도 부천시,202,95.55,0.27,41190
서울특별시 강서구,203,95.14,0.26,11500
경기도 시흥시,204,94.68,0.26,41390
대구광역시 달서구,205,94.63,0.26,27290
경기도 고양시 일산서구,206,94.34,0.26,41287
울산광역시 북구,207,93.96,0.26,31200
경기도 고양시 일산동구,208,93.79,0.26,41285
서울특별시 동대문구,209,93.43,0.26,11230
전라북도 전주시 덕진구,210,93.3,0.26,45113
서울특별시 성동구,211,93.22,0.26,11200
인천광역시 남동구,212,93.03,0.26,28170
서울특별시 양천구,213,92.32,0.26,11470
경기도 오산시,214,92.31,0.26,41370
경기도 광명시,215,90.96,0.25,41210
제주특별자치도 제주시,216,90.95,0.25,50110
광주광역시 동구,217,89.59,0.25,29110
인천광역시 연수구,218,86.86,0.24,28185
전라북도 전주시 완산구,219,85.7,0.24,45111
경상북도 구미시,220,85.45,0.24,47190
경기도 화성시,221,84.69,0.24,41590
서울특별시 광진구,222,83,0.23,11215
경기도 성남시 수정구,223,82.87,0.23,41131
서울특별시 강동구,224,80.75,0.22,11740
세종특별자치시 세종시,225,79.92,0.22,36110
대구광역시 수성구,226,78.89,0.22,27290
부산광역시 부산진구,227,78.79,0.22,26230
충청북도 청주시 흥덕구,228,77.03,0.21,43113
경기도 구리시,229,76.76,0.21,41310
광주광역시 광산구,230,75.75,0.21,29200
부산광역시 중구,231,75.16,0.21,26110
서울특별시 영등포구,232,72.8,0.2,11560
서울특별시 송파구,233,72.43,0.2,11710
대전광역시 유성구,234,69.64,0.19,30200
광주광역시 서구,235,69.32,0.19,29140
충청남도 천안시 서북구,236,66,0.18,44133
대전광역시 서구,237,64.57,0.18,30170
경기도 안산시 단원구,238,64.47,0.18,41273
서울특별시 마포구,239,62.79,0.17,11440
경기도 안양시 동안구,240,62.03,0.17,41173
울산광역시 남구,241,61.45,0.17,31140
경기도 성남시 분당구,242,57.07,0.16,41135
경상남도 창원시 성산구,243,56.42,0.16,48123
경기도 수원시 팔달구,244,55.41,0.15,41115
경기도 수원시 영통구,245,52.69,0.15,41117
서울특별시 종로구,246,48.22,0.13,11110
서울특별시 서초구,247,39.89,0.11,11650
서울특별시 중구,248,38.12,0.11,11140
대구광역시 중구,249,30.1,0.08,27110
서울특별시 강남구,250,25.09,0.07,11680
