소방서명,구급차 대수,주소,시군구 코드
강원도 강릉소방서,10,강원도 강릉시 선수촌로 64-28(홍제동),42150
강원도 고성소방서,4,강원도 고성군 간성읍 수성로 37-11,42820
강원도 동해소방서,6,강원도 동해시 천곡로 120(천곡동),42170
강원도 삼척소방서,11,강원도 삼척시 봉황로 101,42230
강원도 속초소방서,4,강원도 속초시 미시령로 3226,42210
강원도 양구소방서,5,강원도 양구군 양구읍 중심로 92,42800
강원도 양양소방서,3,강원도 양양군 양양읍 남대천로 33,42830
강원도 영월소방서,9,강원도 영월군 영월읍 영월로 1863,42750
강원도 원주소방서,15,강원도 원주시 동부순환로 201(반곡동),42130
강원도 인제소방서,6,강원도 인제군 인제읍 비봉로 44번길 71,42810
강원도 정선소방서,9,강원도 정선군 정선읍 녹송로 27,42770
강원도 철원소방서,5,강원도 철원군 갈말읍 태봉로 1504,42780
강원도 춘천소방서,11,강원도 춘천시 후석로 446(후평동),42110
강원도 태백소방서,4,강원도 태백시 태백로 1120(황지동),42190
강원도 평창소방서,8,강원도 평창군 평창읍 살구실길 10,42760
강원도 홍천소방서,11,강원도 홍천군 홍천읍 공작산로 99,42720
강원도 화천소방서,4,강원도 화천군 위라리길 47,42790
강원도 횡성소방서,9,강원도 횡성군 횡성읍 문예로 157,42730
경기도 가평소방서,6,경기도 가평군 가평읍 가화로 36,41820
경기도 고양소방서,7,경기도 고양시 덕양구 고양대로 1342,41281
경기도 과천소방서,3,경기도 과천시 통영로 12,41290
경기도 광명소방서,5,경기도 광명시 금하로 472,41210
경기도 광주소방서,9,경기도 광주시 초월읍 무들로 112 광주소방서,41610
경기도 구리소방서,4,경기도 구리시 아차산로487번길 46,41310
경기도 군포소방서,5,경기도 군포시 고산로 429,41410
경기도 김포소방서,11,경기도 김포시 감암로 111,41570
경기도 남양주소방서,12,경기도 남양주시 평내동 평내로 25,41360
경기도 동두천소방서,4,경기도 동두천시 지행로 6,41250
경기도 부천소방서,11,경기도 부천시 신흥로 115 ,41190
경기도 분당소방서,9,경기도 성남시 분당구 양현로 14,41135
경기도 성남소방서,9,경기도 성남시 수정구 제일로 111,41131
경기도 송탄소방서,7,경기도 평택시 경기대로 1627(신장동),41220
경기도 수원남부소방서,11,경기도 수원시 권선구 동수원로 286,41113
경기도 수원소방서,10,경기도 수원시 정자천로189번길 12,41110
경기도 시흥소방서,8,경기도 시흥시 정왕신길로 206,41390
경기도 안산소방서,13,경기도 안산시 단원구 화랑로 407,41273
경기도 안성소방서,8,경기도 안성시 미양로 855 ,41550
경기도 안양소방서,8,경기도 안양시 동안구 관평로212번길 32(관양동),41170
경기도 양주소방서,9,경기도 양주시 꿈나무로 156,41630
경기도 양평소방서,9,경기도 양평군 양평읍 경강로 2047 ,41830
경기도 여주소방서,7,경기도 여주시 우암로 110,41730
경기도 연천소방서,6,경기도 연천군 전곡읍 평화로 892,41800
경기도 오산소방서,5,경기도 오산시 문헌공로 30,41370
경기도 용인소방서,18,경기도 용인시 처인구 명지로 45,41461
경기도 의왕소방서,4,경기도 의왕시 오봉로 9 ,41430
경기도 의정부소방서,10,경기도 의정부시 금오로23번길 22-40,41150
경기도 이천소방서,7,경기도 이천시 경충대로 2739,41500
경기도 일산소방서,11,경기도 고양시 일산동구 중앙로 1325,41285
경기도 파주소방서,12,경기도 파주시 파주읍 통일로 1564 ,41480
경기도 평택소방서,7,경기도 평택시 중앙로 273,41220
경기도 포천소방서,12,경기도 포천시 호국로 1538,41650
경기도 하남소방서,5,경기도 하남시 대청로 76,41450
경기도 화성소방서,15,경기도도 화성시 향남읍 향남로 399,41590
경상남도 거제소방서,9,경상남도 거제시 진목로 1,48310
경상남도 거창소방서,6,경상남도 거창군 거창읍 거함대로 3324,48880
경상남도 고성소방서,5,경상남도 고성군 고성읍 남해안대로 2670,48820
경상남도 김해동부소방서,8,경상남도 김해시 김해대로 2507,48250
경상남도 김해서부소방서,8,경상남도 김해시 진례면 서부로 730,48250
경상남도 남해소방서,5,경상남도 남해군 남해읍 스포츠로 81,48840
경상남도 마산소방서,13,경상남도 창원시 마산합포구 제2부두로 55,48125
경상남도 밀양소방서,7,경상남도 밀양시 밀양대공원로 66,48270
경상남도 사천소방서,8,경상남도 사천시 남일로 29,48240
경상남도 산청소방서,6,경상남도 산청군 산청읍 중앙로 76-7,48860
경상남도 성산소방서,5,경상남도 창원시 의창구 상남로 165,48121
경상남도 양산소방서,10,경상남도 양산시 물금읍 황산로 719,48330
경상남도 의령소방서,4,경상남도 의령군 의령읍 의병로 108-17,48720
경상남도 의창소방서,8,경상남도 창원시 의창구 의창대로272번길 10,48121
경상남도 진주소방서,11,경상남도 진주시 동진로 249,48170
경상남도 창녕소방서,6,경상남도 창녕군 대지면 우포2로 1097,48740
경상남도 통영소방서,5,경상남도 통영시 광도면 죽림4로 49,48220
경상남도 하동소방서,6,경상남도 하동군 금성면 금성로 15,48850
경상남도 함안소방서,5,경상남도 함안군 가야읍 선왕길 59,48730
경상남도 함양소방서,6,경상남도 함양군 함양읍 고운로 161-41,48870
경상남도 합천소방서,7,경상남도 합천군 합천읍 인덕로 2453,48890
경상북도 경산소방서,7,경상북도 경산시 압량읍 김유신로 12,47290
경상북도 경주소방서,14,경상북도 경주시 알천남로 276,47130
경상북도 고령소방서,4,경상북도 고령군 대가야읍 벽화길 18,47830
경상북도 구미소방서,11,경상북도 구미시 수출대로 112,47190
경상북도 김천소방서,7,경상북도 김천시 강변로 219,47150
경상북도 문경소방서,6,경상북도 문경시 중앙로 305,47280
경상북도 봉화소방서,5,경상북도 봉화군 봉화읍 내성천3길 152,47920
경상북도 상주소방서,9,경상북도 상주시 상산로 322,47250
경상북도 성주소방서,4,경상북도 성주군 성주읍 주산로 193,47840
경상북도 안동소방서,13,경상북도 안동시 육사로 301,47170
경상북도 영덕소방서,5,경상북도 영덕군 영덕읍 경동로 8401,47770
경상북도 영주소방서,6,경상북도 영주시 문수면 적서로 448번길 17,47210
경상북도 영천소방서,8,경상북도 영천시 호국로 187,47230
경상북도 예천소방서,6,경상북도 예천군 예천읍 양궁로 61-12,47900
경상북도 울진소방서,6,경상북도 울진군 울진읍 울진북로 508,47930
경상북도 의성소방서,11,경상북도 의성군 봉양면 대로 4741,47730
경상북도 청도소방서,4,경상북도 청도군 청도읍 중앙로 192-34,47820
경상북도 청송소방서,5,경상북도 청송군 청송읍 금곡리 716,47750
경상북도 칠곡소방서,7,경상북도 칠곡군 기산면 칠곡대로 1216,47850
경상북도 포항남부소방서,11,경상북도 포항시 남구 동해안로 5890,47111
경상북도 포항북부소방서,7,경상북도 포항시 북구 중앙로 332,47113
광주광역시 광산소방서,11,광주광역시 광산구 하남산단1번로 13(하남동),29200
광주광역시 남부소방서,7,광주광역시 남구 송암로58번길 13(송하동),29155
광주광역시 동부소방서,6,광주광역시 동구 제봉로 210(대인동),29110
광주광역시 북부소방서,11,광주광역시 북구 서하로 290(오치동),29170
광주광역시 서부소방서,8,광주광역시 서구 화운로 197(화정동),29140
대구광역시 강서소방서,6,대구광역시 달성군 다사읍 달구벌대로 920,27710
대구광역시 달서소방서,7,대구광역시 달서구 학산로 75,27290
대구광역시 달성소방서,6,대구광역시 달성군 현풍읍 비슬로 480,27710
대구광역시 동부소방서,9,대구광역시 동구 동대구로 507,27140
대구광역시 북부소방서,9,대구광역시 북구 칠성남로 112,27230
대구광역시 서부소방서,12,대구광역시 서구 달서천로 186,27170
대구광역시 수성소방서,10,대구광역시 수성구 청호로 87,27290
대구광역시 중부소방서,9,대구광역시 중구 달구벌대로 1926,30140
대전광역시 대덕소방서,6,대전광역시 대덕구 계족로 682,30230
대전광역시 동부소방서,9,대전광역시 동구 계족로 300,30110
대전광역시 둔산소방서,6,대전광역시 서구 갈마중로 15,30170
대전광역시 서부소방서,7,대전광역시 서구 복수서로 67,30170
대전광역시 유성소방서,7,대전광역시 유성구 대덕대로 516,30200
부산광역시 강서소방서,6,부산광역시 강서구 녹산산단361로 9(송정동),26440
부산광역시 금정소방서,8,부산광역시 금정구 중앙대로 1789(부곡동),26410
부산광역시 기장소방서,6,부산광역시 기장군 정관읍 용수로 7(정관읍),26710
부산광역시 남부소방서,8,부산광역시 수영구 광일로 64(광안동),26500
부산광역시 동래소방서,8,부산광역시 연제구 고분로 216(연산동),26470
부산광역시 부산진소방서,9,부산광역시 부산진구 서전로 43(전포동),26230
부산광역시 북부소방서,11,부산광역시 사상구 삼덕로 17(삼락동),26530
부산광역시 사하소방서,7,부산광역시 사하구 장평로 270(신평동),26380
부산광역시 중부소방서,7,부산광역시 중구 중앙대로 110(중앙동4가),26110
부산광역시 항만소방서,5,부산광역시 영도구 해양로 297(동삼동),26200
부산광역시 해운대소방서,9,부산광역시 해운대구 해운대해변로 106(우동),26350
서울특별시 강남소방서,10,서울특별시 강남구 테헤란로 629 (삼성동),11680
서울특별시 강동소방서,8,서울특별시 강동구 성내로 39 (성내동),11740
서울특별시 강북소방서,7,서울특별시 강북구 한천로 911 (번동),11305
서울특별시 강서소방서,6,서울특별시 강서구 양천로 550 (등촌동),11500
서울특별시 관악소방서,8,서울특별시 관악구 관악로 97 (봉천동),11620
서울특별시 광진소방서,6,서울특별시 광진구 광나루로 480 (구의동),11215
서울특별시 구로소방서,8,서울특별시 구로구 경인로 408 (고척동),11530
서울특별시 금천소방서,5,서울특별시 금천구 시흥대로 342 금천소방서,11545
서울특별시 노원소방서,9,서울특별시 노원구 한글비석로 1길 8 (하계동),11350
서울특별시 도봉소방서,6,서울특별시 도봉구 도봉로 666 (방학동),11320
서울특별시 동대문소방서,7,서울특별시 동대문구 장한로 34 (장안동),11230
서울특별시 동작소방서,6,서울특별시 동작구 여의대방로16길 55 (신대방동),11590
서울특별시 마포소방서,9,서울특별시 마포구 창전로 76 (신수동),11440
서울특별시 서대문소방서,7,서울특별시 서대문구 연희로 182 (연희동),11410
서울특별시 서초소방서,4,서울특별시 서초구 사평대로 67 (반포동),11650
서울특별시 성동소방서,4,서울특별시 성동구 살곶이길 331(행당동),11200
서울특별시 성북소방서,6,서울특별시 성북구 종암로 27길 3 (종암동),11290
서울특별시 송파소방서,9,서울특별시 송파구 오금로51길 56 (마천동),11710
서울특별시 양천소방서,8,서울특별시 양천구 목동서로 180 (목동),11470
서울특별시 영등포소방서,8,서울특별시 영등포구 문래로 197 (영등포동4가),11560
서울특별시 용산소방서,6,서울특별시 용산구 한강대로 167 (한강로2가),11170
서울특별시 은평소방서,8,서울특별시 은평구 통일로 962 (진관동),11380
서울특별시 종로소방서,7,서울특별시 종로구 율곡로 78(운니동 114-2),11110
서울특별시 중랑소방서,7,서울특별시 중랑구 신내로 183 (신내동),11260
서울특별시 중부소방서,5,서울특별시 중구 퇴계로 394(무학동),11140
세종특별자치시 세종소방서,8,세종특별자치시 절재로 301(어진동),36110
세종특별자치시 조치원소방서,6,세종특별자치시 조치원읍 세종로 2439,36110
울산광역시 남부소방서,10,울산광역시 남구 삼산중로 149,31140
울산광역시 동부소방서,4,울산광역시 동구 꽃바위2가길 9,31170
울산광역시 북부소방서,6,울산광역시 북구 화동로 178,31200
울산광역시 온산소방서,7,울산광역시 울주군 온산읍 덕신로 232,31710
울산광역시 울주소방서,6,울산광역시 울주군 언양읍 남천둑길 99,31710
울산광역시 중부소방서,6,울산광역시 중구 종가로 205,31110
인천광역시 강화소방서,10,인천광역시 강화군 불은면 중앙로 505,28710
인천광역시 검단소방서,4,인천 서구 마전동 521-3,28260
인천광역시 계양소방서,6,인천광역시 계양구 장제로 774,28245
인천광역시 공단소방서,8,인천광역시 남동구 남동서로 208,28200
인천광역시 남동소방서,8,인천광역시 남동구 인주대로 714,28200
인천광역시 미추홀소방서,9,인천광역시 미추홀구 인하로 190,28177
인천광역시 부평소방서,10,인천광역시 부평구 부평대로 324,28237
인천광역시 서부소방서,8,인천광역시 서구 서곶로 292,28260
인천광역시 송도소방서,5,인천광역시 연수구 첨단대로60번길 15,28185
인천광역시 영종소방서,10,인천광역시 중구 제2터미널대로 268,28110
인천광역시 중부소방서,11,인천광역시 중구 인중로 204,28110
전라남도 강진소방서,7,전라남도 강진군 군동면 중앙로 223,46810
전라남도 고흥소방서,5,전라남도 고흥군 풍양면 고흥로 1330,46770
전라남도 광양소방서,6,전라남도 광양시 중마중앙로 109,46230
전라남도 나주소방서,9,전라남도 나주시 예향로 4201,46170
전라남도 담양소방서,7,전라남도 담양군 담양읍 추성로 1232,46710
전라남도 목포소방서,8,전라남도 목포시 삼향천로 110,46110
전라남도 무안소방서,7,전라남도 무안군 무안읍 공항로 133,46840
전라남도 보성소방서,5,전라남도 보성군 벌교읍 녹색로 5247,46780
전라남도 순천소방서,14,전라남도 순천시 서면 삼산로 281,46150
전라남도 신안소방서,8,전라남도 신안군 암태면 단고리 973-6,46910
전라남도 여수소방서,12,전라남도 여수시 망마로 20,46130
전라남도 영광소방서,6,전라남도 영광군 영광읍 함영로 3508,46870
전라남도 영암소방서,5,전라남도 영암군 삼호읍 나불로 192,46830
전라남도 완도소방서,8,전라남도 완도군 농공단지길7,46890
전라남도 장성소방서,3,전라남도 장성군 장성읍 단풍로 204,46880
전라남도 장흥소방서,6,전라남도 장흥군 장흥읍 북부로 138,46800
전라남도 진도소방서,5,전라남도 진도군 진도대로 6945,46900
전라남도 함평소방서,4,전라남도 함평군 대동면 학동로386,46860
전라남도 해남소방서,8,전라남도 해남군 해남읍 교육청길 82,46820
전라남도 화순소방서,5,전라남도 화순군 화순읍 학포로 2750,46790
전라북도 고창소방서,6,전라북도 고창군 고창읍 녹두로 1294,45790
전라북도 군산소방서,14,전라북도 군산시 번영로 308,45130
전라북도 김제소방서,6,전라북도 김제시 벽성로 278,45210
전라북도 남원소방서,10,전라북도 남원시 요천로 1965,45190
전라북도 부안소방서,7,전라북도 부안군 행안면 변산로 86,45800
전라북도 순창소방서,5,전라북도 순창군 순창읍 교성로 24,45770
전라북도 완주소방서,9,전라북도 완주군 삼례읍 삼봉로 518,45710
전라북도 익산소방서,15,전라북도 익산시 무왕로 1338,45140
전라북도 장수소방서,8,전라북도 장수군 장계면 육십령로 136,45740
전라북도 전주덕진소방서,6,전라북도 전주시 덕진구 백제대로 611,45113
전라북도 전주완산소방서,11,전라북도 전주시 완산구 거마평로 73,45111
전라북도 정읍소방서,8,전라북도 정읍시 서부산업도로 507-5,45180
전라북도 진안소방서,5,전라북도 진안군 진안읍 쇠징계로 9,45720
제주특별자치도 동부소방서,10,제주특별자치도 서귀포시 성산읍 일주동로 4120번길 7,50130
제주특별자치도 서귀포소방서,7,제주특별자치도 서귀포시 서호남로 20(법환동),50130
제주특별자치도 서부소방서,8,제주특별자치도 제주시 한림읍 한림중앙로 150,50110
제주특별자치도 제주소방서,12,제주특별자치도 제주시 중앙로 342(이도이동),50110
충청남도 계룡소방서,2,충청남도 계룡시 엄사면 문화로32,44250
충청남도 공주소방서,11,충청남도 공주시 무령로 55,44150
충청남도 금산소방서,6,충청남도 금산군 금산읍 삼풍로 2,44710
충청남도 논산소방서,10,충청남도 논산시 대학로 17,44230
충청남도 당진소방서,12,충청남도 당진시 역천로 838,44830
충청남도 보령소방서,9,충청남도 보령시 성주산로 63,44180
충청남도 부여소방서,6,충청남도 부여군 규암면 계백로17,44760
충청남도 서산소방서,10,충청남도 서산시 호수공원 14로 26-4,44210
충청남도 서천소방서,7,충청남도 서천군 장항읍 장항로 37,44770
충청남도 아산소방서,11,충청남도 아산시 모종로 77,44200
충청남도 예산소방서,6,충청남도 예산군 오가면 오가중앙로 111,44810
충청남도 천안동남소방서,12,충청남도 천안시 동남구 천안대로 580,44131
충청남도 천안서북소방서,11,충청남도 천안시 서북구 직산읍 4산단2길 32,44133
충청남도 청양소방서,4,충청남도 청양군 청양읍 충절로 1187,44790
충청남도 태안소방서,8,충청남도 태안군 태안읍 동백로 100,44825
충청남도 홍성소방서,9,충청남도 홍성군 홍성읍 충절로 741,44800
충청북도 괴산소방서,7,충청북도 괴산군 괴산읍 괴강로 69,43760
충청북도 단양소방서,6,충청북도 단양군 단양읍 삼봉로 421-56,43800
충청북도 보은소방서,5,충청북도 보은군 보은읍 남부로 4415,43720
충청북도 영동소방서,7,충청북도 영동군 영동읍 영동황간로 174,43740
충청북도 옥천소방서,6,충청북도 옥천군 옥천읍 동부로 15,43730
충청북도 음성소방서,8,충청북도 음성군 금왕읍 응천서길 11,43770
충청북도 제천소방서,7,충청북도 제천시 신죽하로 164,43150
충청북도 증평소방서,2,충청북도 증평군 충청대로 1789,43745
충청북도 진천소방서,7,충청북도 진천군 진천읍 진광로 93,43750
충청북도 청주동부소방서,9,충청북도 청주시 상당구 영운로 61,43111
충청북도 청주서부소방서,9,충청북도 청주시 흥덕구 가경로 143,43113
충청북도 충주소방서,12,충청북도 충주시 목행산단7로 9,43130
