행정구역,순위,인구 1000명당 의사수,코드
서울특별시 종로구,1,21.1,11110
대구광역시 중구,2,20.2,27110
부산광역시 서구,3,14,26140
서울특별시 강남구,4,13.1,11680
광주광역시 동구,5,12.1,29110
서울특별시 중구,6,10.2,11140
대구광역시 남구,7,7.8,27200
서울특별시 서초구,8,7.7,11650
전라남도 화순군,9,7.2,46790
부산광역시 중구,10,7.1,26110
서울특별시 서대문구,11,6.9,11410
대전광역시 중구,12,5.8,30140
서울특별시 송파구,13,5.5,11710
부산광역시 부산진구,13,5.5,26230
서울특별시 동대문구,15,5.4,11230
부산광역시 동구,16,5.3,26170
서울특별시 영등포구,17,5.1,11560
서울특별시 강동구,18,4.8,11740
경기도 성남시,19,4.7,41130
대전광역시 서구,20,4.6,30170
인천광역시 중구,21,4.3,28110
전라북도 전주시,22,4,45110
경기도 구리시,23,3.9,41310
부산광역시 수영구,24,3.8,26500
울산광역시 동구,24,3.8,31170
서울특별시 광진구,24,3.8,11215
서울특별시 동작구,24,3.8,11590
서울특별시 구로구,28,3.7,11530
광주광역시 서구,28,3.7,29140
울산광역시 남구,30,3.6,31140
서울특별시 성동구,30,3.6,11200
경상남도 양산시,30,3.6,48330
서울특별시 용산구,30,3.6,11170
부산광역시 해운대구,34,3.5,26350
광주광역시 남구,34,3.5,29155
대구광역시 달서구,34,3.5,27290
부산광역시 동래구,34,3.5,26260
전라북도 익산시,38,3.4,45140
경상남도 진주시,38,3.4,48170
충청남도 천안시,38,3.4,44130
강원도 춘천시,38,3.4,42110
인천광역시 남동구,38,3.4,28200
서울특별시 노원구,38,3.4,11350
강원도 원주시,44,3.3,42130
전라남도 목포시,44,3.3,46110
경기도 수원시,44,3.3,41110
경기도 안양시,47,3.2,41170
부산광역시 연제구,47,3.2,26470
경기도 고양시,47,3.2,41280
서울특별시 양천구,47,3.2,11470
경기도 의정부시,51,3.1,41150
경기도 부천시,51,3.1,41190
서울특별시 성북구,51,3.1,11290
대구광역시 수성구,54,3,27290
광주광역시 북구,55,2.9,29170
서울특별시 마포구,55,2.9,11440
서울특별시 강서구,55,2.9,11500
제주특별자치도 제주시,55,2.9,50110
경상북도 안동시,55,2.9,47170
충청남도 논산시,60,2.8,44230
경상남도 창원시,60,2.8,48120
전라남도 순천시,60,2.8,46150
전라남도 영광군,60,2.8,46870
인천광역시 부평구,60,2.8,28237
부산광역시 사상구,65,2.7,26530
광주광역시 광산구,65,2.7,29200
경기도 안산시,65,2.7,41270
전라남도 나주시,65,2.7,46170
대구광역시 동구,65,2.7,27140
충청북도 청주시,65,2.7,43110
인천광역시 동구,65,2.7,28200
서울특별시 중랑구,65,2.7,11260
서울특별시 은평구,65,2.7,11380
인천광역시 옹진군,65,2.7,28720
전라남도 강진군,75,2.6,46810
대구광역시 북구,75,2.6,27230
전라남도 구례군,75,2.6,46730
전라남도 함평군,75,2.6,46860
전라남도 장흥군,75,2.6,46800
전라남도 보성군,75,2.6,46780
대구광역시 서구,75,2.6,27170
경상북도 포항시,75,2.6,47110
전라남도 신안군,83,2.5,46910
부산광역시 금정구,83,2.5,26410
경기도 광명시,83,2.5,41210
대전광역시 유성구,83,2.5,30200
전라북도 남원시,83,2.5,45190
전라북도 순창군,83,2.5,45770
인천광역시 계양구,83,2.5,28245
서울특별시 금천구,83,2.5,11545
전라남도 곡성군,83,2.5,46720
서울특별시 강북구,83,2.5,11305
부산광역시 북구,83,2.5,26320
전라북도 군산시,94,2.4,45130
대전광역시 동구,94,2.4,30110
부산광역시 남구,94,2.4,26290
전라남도 담양군,94,2.4,46710
부산광역시 영도구,94,2.4,26200
충청남도 공주시,94,2.4,44150
부산광역시 사하구,94,2.4,26380
전라북도 부안군,94,2.4,45800
전라북도 김제시,94,2.4,45210
전라남도 해남군,103,2.3,46820
전라북도 정읍시,103,2.3,45180
전라북도 고창군,103,2.3,45790
충청북도 제천시,103,2.3,43150
전라남도 여수시,103,2.3,46130
충청북도 충주시,103,2.3,43130
대전광역시 대덕구,103,2.3,30230
강원도 속초시,103,2.3,42210
경기도 군포시,103,2.3,41410
경상북도 울릉군,103,2.3,47940
경상북도 영주시,103,2.3,47210
전라북도 임실군,114,2.2,45750
충청남도 금산군,114,2.2,44710
전라남도 고흥군,114,2.2,46770
인천광역시 미추홀구,114,2.2,28140
충청남도 홍성군,114,2.2,44800
경상남도 창녕군,114,2.2,48740
충청북도 보은군,114,2.2,43720
경상남도 합천군,114,2.2,48890
충청북도 영동군,114,2.2,43740
서울특별시 관악구,114,2.2,11620
경상북도 문경시,114,2.2,47280
전라북도 진안군,114,2.2,45720
경상북도 청송군,114,2.2,47750
경상북도 청도군,114,2.2,47820
경상북도 상주시,128,2.1,47250
충청남도 청양군,128,2.1,44790
전라남도 진도군,128,2.1,46900
경상남도 사천시,128,2.1,48240
경상북도 경주시,128,2.1,47130
인천광역시 서구,128,2.1,28260
경상남도 김해시,128,2.1,48250
경상북도 영천시,128,2.1,47230
충청남도 서천군,128,2.1,44770
경상북도 의성군,137,2,47730
충청북도 옥천군,137,2,43730
경기도 여주시,137,2,41730
전라남도 무안군,137,2,46840
경기도 동두천시,137,2,41250
충청남도 부여군,137,2,44760
경기도 김포시,137,2,41570
전라남도 완도군,137,2,46890
전라북도 무주군,137,2,45730
경기도 오산시,137,2,41370
경상남도 거창군,137,2,48880
울산광역시 중구,137,2,31110
경상북도 성주군,137,2,47840
경상북도 영덕군,137,2,47770
경상북도 구미시,137,2,47190
서울특별시 도봉구,137,2,11320
경상북도 경산시,137,2,47290
인천광역시 연수구,154,1.9,28185
충청남도 보령시,154,1.9,44180
강원도 홍천군,154,1.9,42720
충청북도 음성군,154,1.9,43770
경상북도 김천시,154,1.9,47150
경상남도 통영시,154,1.9,48220
경기도 용인시,154,1.9,41460
강원도 동해시,154,1.9,42170
경기도 화성시,154,1.9,41590
전라북도 완주군,154,1.9,45710
부산광역시 기장군,154,1.9,26710
전라북도 장수군,154,1.9,45740
인천광역시 강화군,154,1.9,28710
경기도 평택시,154,1.9,41220
경상북도 울진군,154,1.9,47930
경기도 이천시,169,1.8,41500
전라남도 장성군,169,1.8,46880
경상북도 고령군,169,1.8,47830
경기도 하남시,169,1.8,41450
경기도 포천시,169,1.8,41650
충청북도 괴산군,169,1.8,43760
경기도 양주시,169,1.8,41630
경상남도 밀양시,169,1.8,48270
경상남도 함양군,169,1.8,48870
강원도 태백시,169,1.8,42190
경기도 가평군,169,1.8,41820
충청남도 예산군,169,1.8,44810
강원도 양구군,169,1.8,42800
충청남도 아산시,169,1.8,44200
경상남도 고성군,169,1.8,48820
제주특별자치도 서귀포시,184,1.7,50130
강원도 화천군,184,1.7,42790
충청북도 진천군,184,1.7,43750
충청남도 태안군,184,1.7,44825
전라남도 영암군,184,1.7,46830
경기도 시흥시,184,1.7,41390
경기도 양평군,184,1.7,41830
충청남도 서산시,184,1.7,44210
경상북도 예천군,184,1.7,47900
경상남도 산청군,184,1.7,48860
강원도 삼척시,184,1.7,42230
경상남도 남해군,184,1.7,48840
경기도 안성시,184,1.7,41550
충청남도 당진시,197,1.6,44830
경기도 연천군,197,1.6,41800
경기도 남양주시,197,1.6,41360
강원도 영월군,197,1.6,42750
경기도 파주시,197,1.6,41480
경상남도 함안군,197,1.6,48730
강원도 평창군,197,1.6,42760
경상남도 하동군,197,1.6,48850
강원도 철원군,197,1.6,42780
강원도 횡성군,206,1.5,42730
충청남도 계룡시,206,1.5,44250
경상남도 의령군,206,1.5,48720
충청북도 증평군,206,1.5,43745
전라남도 광양시,206,1.5,46230
경상북도 영양군,206,1.5,47760
대구광역시 달성군,206,1.5,27710
경상북도 봉화군,206,1.5,47920
경상남도 거제시,206,1.5,48310
경상북도 군위군,215,1.4,47720
충청북도 단양군,215,1.4,43800
울산광역시 울주군,215,1.4,31710
경기도 의왕시,215,1.4,41430
경기도 광주시,219,1.3,41610
경기도 과천시,219,1.3,41290
강원도 정선군,219,1.3,42770
울산광역시 북구,219,1.3,31200
경상북도 칠곡군,219,1.3,47850
강원도 인제군,224,1.2,42810
부산광역시 강서구,224,1.2,26440
강원도 양양군,226,1,42830
강원도 고성군,226,1,42820
