시군구,계,남자,여자,노인수,가임기여성,인구소멸지수,노인인구비율, 시군구 코드 
강원도 강릉시,210630,104403,106227,50408,20049,0.397734487,0.239320135,42150
강원도 고성군,27157,14003,13154,8614,1931,0.224169956,0.317192621,42820
강원도 동해시,89150,45303,43847,20314,7411,0.36482229,0.227863152,42170
강원도 삼척시,63444,32193,31251,17718,5206,0.293825488,0.279269907,42230
강원도 속초시,82499,40867,41632,17861,7793,0.436313756,0.216499594,42210
강원도 양구군,21348,11218,10130,5186,1913,0.368877748,0.242926738,42800
강원도 양양군,27869,14283,13586,9193,1803,0.196127488,0.329864724,42830
강원도 영월군,37641,19491,18150,12428,2356,0.189571934,0.330171887,42750
강원도 원주시,360974,178935,182039,62131,42457,0.683346478,0.17212043,42130
강원도 인제군,32097,17481,14616,7412,2874,0.387749595,0.230925009,42810
강원도 정선군,34715,18136,16579,11070,2049,0.185094851,0.318882328,42770
강원도 철원군,41913,21716,20197,10807,3579,0.331174239,0.257843628,42780
강원도 춘천시,286743,141519,145224,56924,33938,0.59619844,0.198519232,42110
강원도 태백시,39006,19650,19356,11082,2662,0.240209348,0.284110137,42190
강원도 평창군,40729,21064,19665,13113,2434,0.185617326,0.321957328,42760
강원도 홍천군,67661,34824,32837,20594,4835,0.23477712,0.304370317,42720
강원도 화천군,23133,12400,10733,5967,2066,0.34623764,0.257943198,42790
강원도 횡성군,46647,23896,22751,15608,2839,0.181893901,0.334598152,42730
경기도 가평군,61915,31961,29954,18160,4822,0.265528634,0.293305338,41820
경기도 고양시 덕양구,495916,243932,251984,80360,65575,0.816015431,0.162043572,41281
경기도 고양시 일산동구,293429,142368,151061,43316,38889,0.897797581,0.147620038,41285
경기도 고양시 일산서구,288680,139892,148788,43086,35470,0.823237246,0.149251767,41287
경기도 과천시,78929,38755,40174,11439,10576,0.924556342,0.14492772,41290
경기도 광명시,283849,139523,144326,45481,34792,0.764978782,0.160229559,41210
경기도 광주시,390863,199369,191494,61027,45494,0.745473315,0.156133991,41610
경기도 구리시,188671,93379,95292,29818,23693,0.794587162,0.158042306,41310
경기도 군포시,264857,131406,133451,41739,33864,0.811327535,0.1575907,41410
경기도 김포시,484474,242029,242445,68638,59371,0.864987325,0.141675301,41570
경기도 남양주시,735521,365250,370271,117558,83668,0.71171677,0.159829563,41360
경기도 동두천시,90460,45117,45343,20809,8956,0.430390696,0.230035375,41250
경기도 부천시,788179,389997,398182,128924,102257,0.793157209,0.16357198,41190
경기도 성남시 분당구,478796,232106,246690,68329,64543,0.944591608,0.142710048,41135
경기도 성남시 수정구,230244,116792,113452,41417,30359,0.733008185,0.179883081,41131
경기도 성남시 중원구,214304,108292,106012,37926,28821,0.759927227,0.176972898,41133
경기도 수원시 권선구,367324,185585,181739,48039,51018,1.062012115,0.130781,41113
경기도 수원시 영통구,361916,181654,180262,30958,56145,1.813586149,0.0855391859,41117
경기도 수원시 장안구,269189,135398,133791,40872,34000,0.831865336,0.151833842,41111
경기도 수원시 팔달구,193392,97384,96008,30736,29264,0.952108277,0.158931083,41115
경기도 시흥시,518072,270537,247535,56665,65381,1.153816289,0.109376689,41390
경기도 안산시 단원구,296217,152658,143559,37762,38982,1.032307611,0.127480867,41273
경기도 안산시 상록구,341263,174089,167174,45921,44369,0.966202827,0.134561907,41271
경기도 안성시,188637,97607,91030,36990,19697,0.532495269,0.196090905,41550
경기도 안양시 동안구,313096,153443,159653,43610,41662,0.955331346,0.139286353,41173
경기도 안양시 만안구,233685,116717,116968,42766,30336,0.709348548,0.183007039,41171
경기도 양주시,252218,127440,124778,43392,28039,0.646179019,0.172041647,41630
경기도 양평군,122767,61734,61033,35105,9341,0.266087452,0.285948178,41830
경기도 여주시,113375,57693,55682,27785,10339,0.372107252,0.245071665,41730
경기도 연천군,41744,21929,19815,12525,3335,0.266267465,0.30004312,41800
경기도 오산시,229121,119352,109769,25781,29214,1.133160079,0.112521332,41370
경기도 용인시 기흥구,436636,215384,221252,63838,52987,0.83002287,0.146204161,41463
경기도 용인시 수지구,377921,184182,193739,53566,47850,0.89329052,0.141738617,41465
경기도 용인시 처인구,260187,133742,126445,42798,29808,0.696481144,0.164489386,41461
경기도 의왕시,158882,78785,80097,25432,20464,0.804655552,0.160068478,41430
경기도 의정부시,462374,227301,235073,79045,59442,0.752002024,0.170954682,41150
경기도 이천시,222348,115806,106542,35566,26320,0.740032615,0.159956465,41500
경기도 파주시,496870,252022,244848,75303,59821,0.794403941,0.151554733,41480
경기도 평택시,584126,306543,277583,74873,73709,0.984453675,0.128179537,41220
경기도 포천시,145373,77027,68346,33629,13251,0.39403491,0.231329064,41650
경기도 하남시,326913,163015,163898,45567,44322,0.972677596,0.139385708,41450
경기도 화성시,925186,480653,444533,92040,122548,1.331464581,0.0994826986,41590
경상남도 거제시,235223,123059,112164,32097,22323,0.695485559,0.136453493,48310
경상남도 거창군,60435,29733,30702,18238,4306,0.23610045,0.301778771,48880
경상남도 고성군,50025,25179,24846,17212,2791,0.162154311,0.344067966,48820
경상남도 김해시,533292,269615,263677,71761,58142,0.810217249,0.134562304,48250
경상남도 남해군,41394,20137,21257,16813,2060,0.122524237,0.406169976,48840
경상남도 밀양시,102720,50596,52124,32899,6992,0.212529256,0.320278427,48270
경상남도 사천시,109090,55137,53953,26654,8552,0.320852405,0.244330369,48240
경상남도 산청군,34181,16961,17220,13719,1711,0.124717545,0.401363331,48860
경상남도 양산시,354004,177216,176788,56996,38277,0.671573444,0.16100383,48330
경상남도 의령군,25861,12832,13029,10403,1344,0.129193502,0.40226596,48720
경상남도 진주시,342744,169402,173342,65423,37655,0.575562111,0.190880074,48170
경상남도 창녕군,57928,28947,28981,20298,3315,0.163316583,0.350400497,48740
경상남도 창원시 마산합포구,178598,88793,89805,42470,17149,0.403790911,0.237796616,48125
경상남도 창원시 마산회원구,182443,91002,91441,38171,17411,0.456131618,0.20922151,48127
경상남도 창원시 성산구,247093,126060,121033,27145,30326,1.117185485,0.109857422,48123
경상남도 창원시 의창구,215220,109442,105778,34159,23707,0.694019146,0.158716662,48121
경상남도 창원시 진해구,192979,99215,93764,31821,19328,0.60739763,0.164893589,48129
경상남도 통영시,121697,61153,60544,28041,9305,0.331835527,0.230416526,48220
경상남도 하동군,42194,21129,21065,16309,2120,0.129989576,0.38652415,48850
경상남도 함안군,61011,31210,29801,17597,3950,0.22447008,0.288423399,48730
경상남도 함양군,37369,18132,19237,13854,2132,0.153890573,0.370735101,48870
경상남도 합천군,41868,20385,21483,17815,1985,0.111422958,0.425503965,48890
경상북도 경산시,267731,134765,132966,50492,30461,0.603283689,0.188592281,47290
경상북도 경주시,248737,124477,124260,62819,21064,0.335312565,0.252551892,47130
경상북도 고령군,30315,15592,14723,10633,1749,0.164487915,0.350750454,47830
경상북도 구미시,406976,209690,197286,46368,49333,1.063944962,0.113933008,47190
경상북도 군위군,23245,11954,11291,10153,1021,0.10056141,0.436782104,47720
경상북도 김천시,138964,69802,69162,35160,12172,0.346188851,0.253015169,47150
경상북도 문경시,69769,34330,35439,23071,4836,0.209613801,0.330676948,47280
경상북도 봉화군,30039,15278,14761,12140,1345,0.110790774,0.404141283,47920
경상북도 상주시,94646,46623,48023,32266,6015,0.186419141,0.340912453,47250
경상북도 성주군,42542,22160,20382,15168,2389,0.157502637,0.35654177,47840
경상북도 안동시,153943,76105,77838,41810,13569,0.324539584,0.271594032,47170
경상북도 영덕군,34504,16423,18081,14136,1793,0.126839276,0.40969163,47770
경상북도 영양군,15920,7939,7981,6443,803,0.124631383,0.404711055,47760
경상북도 영주시,100746,49955,50791,30059,7333,0.243953558,0.298364203,47210
경상북도 영천시,100965,51406,49559,31194,7537,0.241616978,0.30895855,47230
경상북도 예천군,55670,27389,28281,17832,4200,0.235531629,0.320316149,47900
경상북도 울릉군,9056,5029,4027,2554,611,0.239232576,0.282022968,47940
경상북도 울진군,46850,23657,23193,14441,3234,0.22394571,0.308239061,47930
경상북도 의성군,50081,24707,25374,22448,2330,0.103795438,0.448233861,47730
경상북도 청도군,41661,20566,21095,17093,2076,0.121453226,0.410287799,47820
경상북도 청송군,24206,12144,12062,9936,1158,0.116545894,0.410476741,47750
경상북도 칠곡군,111725,58486,53239,20334,10020,0.492770729,0.182000448,47850
경상북도 포항시 남구,226446,117356,109090,46432,20434,0.440084425,0.205046678,47111
경상북도 포항시 북구,267468,133007,134461,54071,25893,0.478870374,0.202158763,47113
광주광역시 광산구,398941,201269,197672,42705,50579,1.18438122,0.107045904,29200
광주광역시 남구,211329,101391,109938,41266,24281,0.588402074,0.195268988,29155
광주광역시 동구,106443,52470,53973,23693,14134,0.596547503,0.222588616,29110
광주광역시 북구,423338,209591,213747,71896,52623,0.731932235,0.169831199,29170
광주광역시 서구,286574,140253,146321,46742,37074,0.793162466,0.163106213,29140
대구광역시 남구,141640,67704,73936,36011,17466,0.485018467,0.254243152,27200
대구광역시 달서구,535656,263040,272616,90736,61695,0.679939605,0.169392297,27290
대구광역시 달성군,262881,133402,129479,38767,29785,0.768308097,0.147469768,27710
대구광역시 동구,338820,166217,172603,74404,37628,0.505725499,0.219597426,27140
대구광역시 북구,427120,212133,214987,71627,49730,0.694291259,0.167697603,27230
대구광역시 서구,158907,79057,79850,41487,14966,0.360739509,0.261077234,27170
대구광역시 수성구,409419,197507,211912,72962,42878,0.587675776,0.178208632,27290
대구광역시 중구,83438,39982,43456,16409,12748,0.776890731,0.196660994,27110
대전광역시 대덕구,171372,87175,84197,31859,18583,0.583288867,0.185905515,30230
대전광역시 동구,219272,110471,108801,46517,24646,0.529827805,0.212142909,30110
대전광역시 서구,468561,230018,238543,69222,65301,0.943356158,0.147733166,30170
대전광역시 유성구,360321,182370,177951,39971,50768,1.270120838,0.110931642,30200
대전광역시 중구,225688,110900,114788,49525,25650,0.517920242,0.219440112,30140
부산광역시 강서구,142983,74108,68875,19407,17297,0.891276344,0.135729422,26440
부산광역시 금정구,219484,107157,112327,52900,24092,0.455425331,0.241019847,26410
부산광역시 기장군,179371,88844,90527,31969,19264,0.602583753,0.178228365,26710
부산광역시 남구,256257,124998,131259,57694,28481,0.493656186,0.225141167,26290
부산광역시 동구,85629,41781,43848,24505,9608,0.392083248,0.286176412,26170
부산광역시 동래구,273034,132038,140996,55858,30422,0.544631029,0.204582579,26260
부산광역시 부산진구,357615,171805,185810,76937,50387,0.654912461,0.215139186,26230
부산광역시 북구,277390,136470,140920,56948,30668,0.538526375,0.205299398,26320
부산광역시 사상구,203418,102236,101182,43914,22913,0.521769823,0.215880601,26530
부산광역시 사하구,301709,149798,151911,67111,32187,0.47960841,0.222436189,26380
부산광역시 서구,104738,50446,54292,28726,11502,0.400403815,0.27426531,26140
부산광역시 수영구,175426,82339,93087,41450,23960,0.578045838,0.236281965,26500
부산광역시 연제구,203081,97308,105773,44780,23904,0.533809736,0.220503149,26470
부산광역시 영도구,107454,52869,54585,33094,9095,0.274823231,0.307982951,26200
부산광역시 중구,39478,19111,20367,11591,5025,0.433526012,0.293606566,26110
부산광역시 해운대구,384335,184285,200050,77467,41636,0.537467567,0.201561138,26350
서울특별시 강남구,534646,255637,279009,83400,76809,0.920971223,0.155991067,11680
서울특별시 강동구,459567,224899,234668,79838,64254,0.80480473,0.173724397,11740
서울특별시 강북구,292383,141837,150546,67071,37244,0.555292153,0.229394322,11305
서울특별시 강서구,567883,272404,295479,98725,93113,0.943155229,0.17384743,11500
서울특별시 관악구,487641,245231,242410,82896,96030,1.15843949,0.169993909,11620
서울특별시 광진구,336558,162071,174487,54703,59331,1.084602307,0.162536621,11215
서울특별시 구로구,395099,193938,201161,75888,57114,0.752609108,0.192073379,11530
서울특별시 금천구,229328,115578,113750,43115,35452,0.822266033,0.188005826,11545
서울특별시 노원구,501838,241168,260670,93454,63772,0.682389197,0.186223443,11350
서울특별시 도봉구,310023,150535,159488,68279,37738,0.552702881,0.220238498,11320
서울특별시 동대문구,337692,165936,171756,65144,53017,0.813843178,0.192909515,11230
서울특별시 동작구,380385,184072,196313,68551,62550,0.912459337,0.180214782,11590
서울특별시 마포구,365287,171058,194229,56306,66885,1.187884062,0.154141812,11440
서울특별시 서대문구,308338,146684,161654,56394,48796,0.865269355,0.182896691,11410
서울특별시 서초구,404539,192932,211607,63365,56534,0.892196007,0.156635083,11650
서울특별시 성동구,279980,136059,143921,48118,44552,0.925890519,0.171862276,11200
서울특별시 성북구,429751,206367,223384,78405,62830,0.801351955,0.182442856,11290
서울특별시 송파구,657665,316356,341309,105340,100641,0.955392064,0.160172732,11710
서울특별시 양천구,438848,214455,224393,73626,53727,0.729728628,0.167771073,11470
서울특별시 영등포구,376423,184827,191596,64439,66170,1.026862614,0.171187733,11560
서울특별시 용산구,217611,104580,113031,38955,35839,0.920010268,0.17901209,11170
서울특별시 은평구,464217,220904,243313,90611,66585,0.734844555,0.195191042,11380
서울특별시 종로구,140891,68079,72812,28027,21255,0.758375852,0.19892683,11110
서울특별시 중구,121250,58806,62444,24977,19602,0.784802018,0.205995876,11140
서울특별시 중랑구,384867,189099,195768,76241,54816,0.718983224,0.198097005,11260
세종특별자치시   ,343855,170466,173389,33274,44739,1.344563323,0.0967675328,36110
울산광역시 남구,309680,157992,151688,45319,36144,0.797546283,0.146341385,31140
울산광역시 동구,150850,78697,72153,23908,15305,0.640162289,0.158488565,31170
울산광역시 북구,218758,113167,105591,22184,24963,1.125270465,0.101408863,31200
울산광역시 울주군,221031,114394,106637,38691,21278,0.549947016,0.175047844,31710
울산광역시 중구,206815,104574,102241,37891,20824,0.549576417,0.183212049,31110
인천광역시 강화군,69550,34836,34714,25126,4400,0.175117408,0.361265277,28710
인천광역시 계양구,285774,142313,143461,44955,35236,0.783806028,0.157309622,28245
인천광역시 남동구,501481,249152,252329,82110,60963,0.742455243,0.163735017,28200
인천광역시 동구,59636,29980,29656,14895,5827,0.391205102,0.249765242,28140
인천광역시 미추홀구,404852,203685,201167,77104,50713,0.657722038,0.190449843,28177
인천광역시 부평구,490063,241598,248465,83526,64395,0.770957546,0.170439311,28237
인천광역시 서구,600578,302876,297702,72313,79686,1.101959537,0.120405676,28260
인천광역시 연수구,388606,192725,195881,45364,50058,1.10347412,0.116735202,28185
인천광역시 옹진군,20488,11696,8792,6218,1337,0.215020907,0.303494729,28720
인천광역시 중구,155310,80416,74894,23965,20673,0.862633006,0.154304295,28110
전라남도 강진군,32984,16022,16962,12370,2098,0.16960388,0.375030318,46810
전라남도 고흥군,61618,30045,31573,26820,2964,0.110514541,0.435262423,46770
전라남도 곡성군,27066,13429,13637,10427,1630,0.156324926,0.385243479,46720
전라남도 광양시,152044,79483,72561,22744,16172,0.711044671,0.149588277,46230
전라남도 구례군,24480,11942,12538,9114,1378,0.151195962,0.372303922,46730
전라남도 나주시,116994,59072,57922,27792,12250,0.440774324,0.237550644,46170
전라남도 담양군,45611,23064,22547,15179,3319,0.218657356,0.332792528,46710
전라남도 목포시,215591,107182,108409,41352,22241,0.537845812,0.191807636,46110
전라남도 무안군,90671,45562,45109,18660,9488,0.50846731,0.205798988,46840
전라남도 보성군,38234,18759,19475,15876,1972,0.124212648,0.415232516,46780
전라남도 순천시,278709,139084,139625,48837,31077,0.636341299,0.175225773,46150
전라남도 신안군,37962,20459,17503,14716,1830,0.124354444,0.387650809,46910
전라남도 여수시,273659,139340,134319,59425,26484,0.445671014,0.217149811,46130
전라남도 영광군,52274,26144,26130,16134,4214,0.261187554,0.30864292,46870
전라남도 영암군,52592,27465,25127,15062,3811,0.253020847,0.286393368,46830
전라남도 완도군,47310,23874,23436,16609,2828,0.170269131,0.351067428,46890
전라남도 장성군,42947,22093,20854,13963,2945,0.21091456,0.325121662,46880
전라남도 장흥군,35419,17275,18144,13161,2187,0.166172783,0.371580225,46800
전라남도 진도군,29326,14622,14704,10602,1829,0.17251462,0.361522199,46900
전라남도 함평군,30791,15573,15218,12164,1699,0.139674449,0.395050502,46860
전라남도 해남군,65414,32614,32800,23020,3996,0.173588184,0.351912435,46820
전라남도 화순군,61743,30521,31222,17883,5145,0.287703405,0.289636072,46790
전라북도 고창군,52144,25945,26199,19493,3095,0.158774945,0.373830163,45790
전라북도 군산시,261385,132396,128989,55712,24782,0.444823377,0.213141535,45130
전라북도 김제시,81886,40756,41130,27665,6068,0.219338514,0.33784774,45210
전라북도 남원시,77503,37994,39509,23800,5712,0.24,0.307084887,45190
전라북도 무주군,23416,11714,11702,8462,1378,0.162845663,0.361376836,45730
전라북도 부안군,50020,24879,25141,18060,3135,0.17358804,0.361055578,45800
전라북도 순창군,26823,13169,13654,9686,1658,0.171174892,0.361108004,45770
전라북도 완주군,94776,48740,46036,23394,8614,0.368214072,0.246834642,45710
전라북도 익산시,272320,135610,136710,60671,27343,0.4506766,0.222793038,45140
전라북도 임실군,26335,13512,12823,10318,1518,0.147121535,0.391797987,45750
전라북도 장수군,21145,10627,10518,7904,1162,0.14701417,0.373799953,45740
전라북도 전주시 덕진구,316675,157285,159390,49333,38836,0.787221535,0.155784321,45113
전라북도 전주시 완산구,330631,160769,169862,59187,40584,0.685691115,0.179012252,45111
전라북도 정읍시,104458,51986,52472,31559,7870,0.249374188,0.302121427,45180
전라북도 진안군,24664,12584,12080,9352,1413,0.151090676,0.379176127,45720
제주특별자치도 서귀포시,184480,92868,91612,38949,17381,0.446250225,0.211128578,
제주특별자치도 제주시,492635,246218,246417,78486,57402,0.731366104,0.159318765,
충청남도 계룡시,45256,22510,22746,6173,4596,0.744532642,0.136401803,44250
충청남도 공주시,102747,51289,51458,29889,8919,0.298404095,0.290899004,44150
충청남도 금산군,50333,25403,24930,17336,2990,0.172473466,0.344426122,44710
충청남도 논산시,111822,55878,55944,32939,8795,0.267008713,0.294566364,44230
충청남도 당진시,168846,90026,78820,34461,14932,0.433301413,0.204097225,44830
충청남도 보령시,96764,49031,47733,28130,7233,0.257127622,0.290707288,44180
충청남도 부여군,61903,30789,31114,23835,3628,0.152213132,0.385037882,44760
충청남도 서산시,176110,91982,84128,35900,16076,0.447799443,0.203849867,44210
충청남도 서천군,49730,24571,25159,19767,2712,0.137198361,0.397486427,44770
충청남도 아산시,336871,175601,161270,47787,39270,0.821771612,0.141855488,44200
충청남도 예산군,78689,39459,39230,26355,5522,0.20952381,0.334926101,44810
충청남도 천안시 동남구,257777,130626,127151,42129,30596,0.726245579,0.163431959,44131
충청남도 천안시 서북구,400207,206326,193881,40451,58046,1.434970705,0.101075194,44133
충청남도 청양군,30288,15448,14840,11646,1803,0.154817105,0.384508716,44790
충청남도 태안군,61029,30856,30173,21235,3621,0.170520367,0.347949336,44825
충청남도 홍성군,96961,48331,48630,25437,8240,0.323937571,0.262342591,44800
충청북도 괴산군,36779,18957,17822,14162,1831,0.129289648,0.38505669,43760
충청북도 단양군,27685,14095,13590,9804,1529,0.155956752,0.354126783,43800
충청북도 보은군,31375,15849,15526,11965,1677,0.140158796,0.381354582,43720
충청북도 영동군,44684,22374,22310,15923,2701,0.169628839,0.356346791,43740
충청북도 옥천군,49292,24883,24409,16445,3233,0.19659471,0.333624118,43730
충청북도 음성군,91822,48797,43025,22155,7437,0.335680433,0.241282046,43770
충청북도 제천시,131459,66103,65356,32806,11748,0.358105225,0.249553093,43150
충청북도 증평군,37331,19448,17883,7444,3761,0.505239119,0.19940532,43745
충청북도 진천군,85802,45378,40424,15509,8481,0.546843768,0.180753362,43750
충청북도 청주시 상당구,197775,98278,99497,34083,22608,0.663321891,0.172332196,43111
충청북도 청주시 서원구,189070,94272,94798,33130,22415,0.67657712,0.175226107,
충청북도 청주시 청원구,193037,99589,93448,28213,23855,0.845532201,0.146153328,
충청북도 청주시 흥덕구,270005,137361,132644,34397,36863,1.071692299,0.127393937,43113
충청북도 충주시,207993,105422,102571,46834,19424,0.414741427,0.225171039,43130
